Country,Company,Website,Web search,Apollo,Final (used),Source
Algeria,REDUCOM,reducom-dz.com,,,NOT FOUND,none
Argentina,Fabbro Hnos SAIC,fabbrohnos.com,,linkedin.com/company/fabbro-hnos-saic,linkedin.com/company/fabbro-hnos-saic,apollo
Argentina,Uffenheimer S.A.,uffenheimer.com.ar,linkedin.com/company/s.uffenheimer,linkedin.com/company/suffenheimer,linkedin.com/company/s.uffenheimer,web(apollo differs)
Australia,All Torque Transmissions A'sia Pty Ltd,alltorquetransmissions.com,linkedin.com/company/all-torque-transmissions-a'sia-pty-ltd,linkedin.com/company/all-torque-transmissions-a'sia-pty-ltd,linkedin.com/company/all-torque-transmissions-a'sia-pty-ltd,both
Australia,IBS - Industrial Bearing Service,industrialbearings.com.au,linkedin.com/company/industrial-bearings-supplies,linkedin.com/company/industrial-bearings-supplies,linkedin.com/company/industrial-bearings-supplies,both
Austria,ASC Antriebe Distribution & Service GmbH,,,,NOT FOUND,none
Belarus,MotoReduktor,motoreduktor.by,,,NOT FOUND,none
Belarus,NektisAlliance,nektis.by,,,NOT FOUND,none
Belgium,ERIKS Belgium,eriks.be,linkedin.com/company/eriks-belgium,linkedin.com/company/eriks-belgium,linkedin.com/company/eriks-belgium,both
Bolivia,Inducom Bolivia,inducom.com.bo,linkedin.com/company/inducom-bolivia,linkedin.com/company/inducom-bolivia,linkedin.com/company/inducom-bolivia,both
Brazil,Funcke,funcke.com.br,,linkedin.com/company/funckeacoplamentos,linkedin.com/company/funckeacoplamentos,apollo
Brazil,Grupo VDS Redutores,grupovdsredutores.com.br,,,NOT FOUND,none
Brazil,SoluTec Industrial,solutecindustrial.com.br,linkedin.com/company/solutec-industrial,linkedin.com/company/solutec-industrial,linkedin.com/company/solutec-industrial,both
Canada,Engineered Lifting Systems,engineeredlifting.com,,linkedin.com/company/engineered-lifting-systems-llc,linkedin.com/company/engineered-lifting-systems-llc,apollo
Canada,Toronto Electric,torontoelectric.com,linkedin.com/company/toronto-electric,linkedin.com/company/toronto-electric,linkedin.com/company/toronto-electric,both
Canada,eMotors Direct,emotorsdirect.ca,linkedin.com/company/emotorsdirect,linkedin.com/company/emotorsdirect,linkedin.com/company/emotorsdirect,both
Chile,Dimet,dimet.cl,linkedin.com/company/distribuidora-dimet-ltda,linkedin.com/company/distribuidora-dimet-ltda,linkedin.com/company/distribuidora-dimet-ltda,both
China,Liaoning Guomao Jienuo Intelligent Equipment,guomao-gearbox.com,,,NOT FOUND,none
China,Shanghai Ouchuan Transmission,oc-drive.com,,linkedin.com/company/上海欧传传动机械有限公司,linkedin.com/company/上海欧传传动机械有限公司,apollo
Colombia,Grupo Giravan,giravan.com,,,NOT FOUND,none
Colombia,Motorreductores S.A.S.,motorreductores.com.co,linkedin.com/company/motorreductores.sas,linkedin.com/company/motorreductores.sas,linkedin.com/company/motorreductores.sas,both
Colombia,Traincol,traincol.com.co,linkedin.com/company/traincol,linkedin.com/company/traincol,linkedin.com/company/traincol,both
Costa Rica,Potencia Fluida y Mecanica (PFM S.A.),pfmcr.com,linkedin.com/company/pfmcr,linkedin.com/company/pfmcr,linkedin.com/company/pfmcr,both
Cote d'Ivoire,DMEIB,,,,NOT FOUND,none
Croatia,Duro Dakovic Strojna Obrada d.o.o.,,linkedin.com/company/duro-dakovic-strojna-obrada-d-o-o-,,linkedin.com/company/duro-dakovic-strojna-obrada-d-o-o-,web
Czech Republic,K-Drives (Elektromotory.cz),k-drives.eu,,,NOT FOUND,none
Denmark,SEW-Eurodrive A/S (Denmark),sew-eurodrive.dk,linkedin.com/company/sew-eurodrive-a-s,linkedin.com/company/sew-eurodrive-a-s,linkedin.com/company/sew-eurodrive-a-s,both
Ecuador,Inducom Ecuador,inducom-ec.com,linkedin.com/company/inducom-ecuador,linkedin.com/company/inducom-ecuador,linkedin.com/company/inducom-ecuador,both
