#,Country,City,Company,Website,LinkedIn,Confidence
1,Algeria,,REDUCOM,reducom-dz.com,not found,
2,Argentina,,Uffenheimer S.A.,uffenheimer.com.ar,linkedin.com/company/s.uffenheimer,high
3,Argentina,,Fabbro Hnos SAIC,fabbrohnos.com,not found,
4,Australia,"Braeside, VIC",All Torque Transmissions A'sia Pty Ltd,alltorquetransmissions.com,linkedin.com/company/all-torque-transmissions-a'sia-pty-ltd,high
5,Australia,"Padstow, NSW",IBS - Industrial Bearing Service,industrialbearings.com.au,linkedin.com/company/industrial-bearings-supplies,high
6,Austria,Enns,ASC Antriebe Distribution & Service GmbH,,not found,
7,Belarus,Minsk,MotoReduktor,motoreduktor.by,not found,
8,Belarus,Minsk,NektisAlliance,nektis.by,not found,
9,Belgium,,ERIKS Belgium,eriks.be,linkedin.com/company/eriks-belgium,high
10,Bolivia,,Inducom Bolivia,inducom.com.bo,linkedin.com/company/inducom-bolivia,high
11,Brazil,Santa Barbara d'Oeste (SP),SoluTec Industrial,solutecindustrial.com.br,linkedin.com/company/solutec-industrial,high
12,Brazil,Sao Paulo,Grupo VDS Redutores,grupovdsredutores.com.br,not found,
13,Brazil,,Funcke,funcke.com.br,not found,
14,Canada,"Toronto, ON",Toronto Electric,torontoelectric.com,linkedin.com/company/toronto-electric,high
15,Canada,"Guelph, ON",Engineered Lifting Systems,engineeredlifting.com,not found,
16,Canada,"Toronto, ON",eMotors Direct,emotorsdirect.ca,linkedin.com/company/emotorsdirect,high
17,Chile,Santiago,Dimet,dimet.cl,linkedin.com/company/distribuidora-dimet-ltda,high
18,China,Dalian / Liaoning,Liaoning Guomao Jienuo Intelligent Equipment,guomao-gearbox.com,not found,
19,China,Shanghai,Shanghai Ouchuan Transmission,oc-drive.com,not found,
20,Colombia,,Motorreductores S.A.S.,motorreductores.com.co,linkedin.com/company/motorreductores.sas,high
21,Colombia,Medellin,Grupo Giravan,giravan.com,not found,
22,Colombia,,Traincol,traincol.com.co,linkedin.com/company/traincol,high
23,Costa Rica,,Potencia Fluida y Mecanica (PFM S.A.),pfmcr.com,linkedin.com/company/pfmcr,high
24,Cote d'Ivoire,Abidjan,DMEIB,,not found,
25,Croatia,Slavonski Brod,Duro Dakovic Strojna Obrada d.o.o.,,linkedin.com/company/duro-dakovic-strojna-obrada-d-o-o-,high
26,Czech Republic,,K-Drives (Elektromotory.cz),k-drives.eu,not found,
27,Denmark,Greve,SEW-Eurodrive A/S (Denmark),sew-eurodrive.dk,linkedin.com/company/sew-eurodrive-a-s,high
28,Ecuador,,Inducom Ecuador,inducom-ec.com,linkedin.com/company/inducom-ecuador,high
