page,power_kw,power_hp,motor_type,price_tl
2,-,-,AAH 71 M6A,5367.00
2,-,-,AAH 71 M4A,4626.00
2,-,-,AAH 71 M6B,5719.00
2,0.37,1/2,AAH 71 M2A,4841.00
2,0.37,1/2,AAH 71 M4B,4969.00
2,0.37,1/2,AAH 80 M6A,6265.00
2,0.55,3/4,AAH 71 M2B,5017.00
2,0.55,3/4,AAH 80 M4A,5843.00
2,0.55,3/4,AAH 80 M6B,7293.00
3,0.75,"1,00",AAP 80 M2A,6211.00
3,0.75,"1,00",AAP 80 M4B,7558.00
3,0.75,"1,00",AAP 90 S6A,8148.00
3,1.10,"1,50",AAP 80 M2B,6484.00
3,1.10,"1,50",AAP 90 S4A,8803.00
3,1.10,"1,50",AAP 90 L6A,9766.00
3,1.50,"2,00",AAP 90 S2A,7801.00
3,1.50,"2,00",AAP 90 L4A,9794.00
3,1.50,"2,00",AAP 100 L6A,10936.00
3,2.20,"3,00",AAP 90 L2A,8839.00
3,2.20,"3,00",AAP 100 L4A,12045.00
3,2.20,"3,00",AAP 112 M6A,15178.00
3,3.00,"4,00",AAP 100 L2A,11677.00
3,3.00,"4,00",AAP 100 L4B,13985.00
3,3.00,"4,00",AAP 132 S6A,19960.00
3,4.00,"5,50",AAP 112 M2A,15302.00
3,4.00,"5,50",AAP 112 M4A,17275.00
3,4.00,"5,50",AAP 132 M6A,22144.00
3,5.50,"7,50",AAP 132 S2A,21600.00
3,5.50,"7,50",AAP 132 S4A,21922.00
3,5.50,"7,50",AAP 132 M6B,27121.00
3,7.50,"10,00",AAP 132 S2B,23734.00
3,7.50,"10,00",AAP 132 M4A,25637.00
3,7.50,"10,00",AAP 160 M6A,37812.00
3,11.00,"15,00",AAP 160 M2A,37855.00
3,11.00,"15,00",AAP 160 M4A,40587.00
3,11.00,"15,00",AAP 160 L6A,47962.00
3,15.00,"20,00",AAP 160 M2B,41958.00
3,15.00,"20,00",AAP 160 L4A,48263.00
3,15.00,"20,00",AAP 180 L6A,57864.00
3,18.50,"25,00",AAP 160 L2A,46243.00
3,18.50,"25,00",AAP 180 M4A,56976.00
3,18.50,"25,00",AAP 200 L6A,69127.00
3,22.00,"30,00",AAP 180 M2A,61205.00
3,22.00,"30,00",AAP 180 L4A,64351.00
3,22.00,"30,00",AAP 200 L6B,79627.00
3,30.00,"40,00",AAP 200 L2A,89208.00
3,30.00,"40,00",AAP 200 L4A,84638.00
3,37.00,"50,00",AAP 200 L2B,99272.00
4,-,-,ABP 132 S6A,26234.00
4,-,-,ABP 132 M6A,29679.00
4,5.50,"7,50",ABP 132 S2A,27872.00
4,5.50,"7,50",ABP 132 S4A,28621.00
4,5.50,"7,50",ABP 132 M6B,32502.00
4,7.50,"10,00",ABP 132 S2B,30972.00
4,7.50,"10,00",ABP 132 M4A,33307.00
4,7.50,"10,00",ABP 160 M6A,48422.00
4,11.00,"15,00",ABP 160 M2A,45286.00
4,11.00,"15,00",ABP 160 M4A,50287.00
4,11.00,"15,00",ABP 160 L6A,59007.00
4,15.00,"20,00",ABP 160 M2B,50315.00
4,15.00,"20,00",ABP 160 L4A,59282.00
4,15.00,"20,00",ABP 180 L6A,72973.00
4,18.50,"25,00",ABP 160 L2A,55572.00
4,18.50,"25,00",ABP 180 M4A,67357.00
4,18.50,"25,00",ABP 200 L6A,87430.00
4,22.00,"30,00",ABP 180 M2A,71752.00
4,22.00,"30,00",ABP 180 L4A,76212.00
4,22.00,"30,00",ABP 200 L6B,99021.00
4,30.00,"40,00",ABP 200 L2A,108472.00
4,30.00,"40,00",ABP 200 L4A,104266.00
4,30.00,"40,00",ABP 225 M6A,125580.00
4,37.00,"50,00",ABP 200 L2B,117597.00
4,37.00,"50,00",ABP 225 S4A,118551.00
4,37.00,"50,00",ABP 250 M6A,161315.00
4,45.00,"60,00",ABP 225 M2A,138325.00
4,45.00,"60,00",ABP 225 M4A,131301.00
4,45.00,"60,00",ABP 280 S6A,199703.00
4,55.00,"75,00",ABP 250 M2A,182750.00
4,55.00,"75,00",ABP 250 M4A,172258.00
4,55.00,"75,00",ABP 280 M6A,232884.00
4,250.00,"340,00",ABP 355 M2A,688681.00
4,250.00,"340,00",ABP 355 M4A,650790.00
4,250.00,"340,00",ABP 355 M6C,795036.00
4,315.00,"430,00",ABP 355 M2B,733483.00
4,315.00,"430,00",ABP 355 M4B,762206.00
4,315.00,"430,00",ABP 355 L6A,880327.00
4,355.00,"483,00",ABP 355 M2C,788350.00
4,355.00,"483,00",ABP 355 M4C,799196.00
4,355.00,"483,00",ABP 355 L6B,1218813.00
4,400.00,"544,00",ABP 355 L2A,838610.00
4,400.00,"544,00",ABP 355 L4A,830713.00
4,400.00,"544,00",ABP 400 L6A,1298841.00
4,450.00,"612,00",ABP 355 L2B,950201.00
4,450.00,"612,00",ABP 355 L4B,1047151.00
4,450.00,"612,00",ABP 400 L2A,1335616.00
4,450.00,"612,00",ABP 400 L4A,1358776.00
4,450.00,"612,00",ABP 400 L6B,1486587.00
4,500.00,"670,00",ABP 400 L2B,1415348.00
4,500.00,"670,00",ABP 400 L4B,1360396.00
4,500.00,"670,00",ABP 400 L6C,1541123.00
4,560.00,"751,00",ABP 400 L2C,1505996.00
4,560.00,"751,00",ABP 400 L4C,1451771.00
4,560.00,"751,00",ABP 400 L6D,1743826.00
4,630.00,"845,00",ABP 400 L2D,1644026.00
4,630.00,"845,00",ABP 400 L4D,1528164.00
4,710.00,"952,00",ABP 400 L2E,1802268.00
4,710.00,"952,00",ABP 400 L4E,1720343.00
4,750.00,"1.005,00",ABP 400 L2F,2000580.00
4,750.00,"1.005,00",ABP 400 L4F,1912273.00
5,0.75,"1,00",AAP 80 M2A,7088.00
5,0.75,"1,00",AAP 80 M4B,9259.00
5,0.75,"1,00",AAP 90 S6A,9256.00
5,1.10,"1,50",AAP 80 M2B,7637.00
5,1.10,"1,50",AAP 90 S4A,10280.00
5,1.50,"2,00",AAP 90 S2A,9327.00
5,1.50,"2,00",AAP 90 L4A,11200.00
5,2.20,"3,00",AAP 90 L2A,10100.00
5,2.20,"3,00",AAP 100 L4A,15090.00
5,2.20,"3,00",AAP 112 M6A,19703.00
5,3.00,"4,00",AAP 100 L2A,14121.00
5,3.00,"4,00",AAP 132 S6A,22514.00
5,4.00,"5,50",AAP 112 M2A,19872.00
5,4.00,"5,50",AAP 112 M4A,21871.00
5,4.00,"5,50",AAP 132 M6A,25736.00
5,5.50,"7,50",AAP 132 S2A,26035.00
5,5.50,"7,50",AAP 132 S4A,26903.00
5,5.50,"7,50",AAP 132 M6B,33647.00
5,7.50,"10,00",AAP 132 S2B,31026.00
5,7.50,"10,00",AAP 132 M4A,31415.00
5,7.50,"10,00",AAP 160 M6A,46662.00
5,11.00,"15,00",AAP 160 M2A,45549.00
5,11.00,"15,00",AAP 160 M4A,51265.00
5,11.00,"15,00",AAP 160 L6A,58973.00
5,15.00,"20,00",AAP 160 M2B,52227.00
5,15.00,"20,00",AAP 180 L6A,65010.00
5,18.50,"25,00",AAP 180 M4A,67255.00
5,18.50,"25,00",AAP 200 L6A,84283.00
5,22.00,"30,00",AAP 180 M2A,69209.00
5,22.00,"30,00",AAP 180 L4A,75203.00
5,22.00,"30,00",AAP 200 L6B,97380.00
5,30.00,"40,00",AAP 200 L2A,117723.00
5,30.00,"40,00",AAP 200 L4A,104194.00
5,37.00,"50,00",AAP 200 L2B,128207.00
6,-,-,ABP 132 S6A,29991.00
6,-,-,ABP 132 M6A,34083.00
6,5.50,"7,50",ABP 132 S2A,33381.00
6,5.50,"7,50",ABP 132 S4A,35395.00
6,5.50,"7,50",ABP 132 M6B,39060.00
6,7.50,"10,00",ABP 132 S2B,37760.00
6,7.50,"10,00",ABP 132 M4A,41600.00
6,7.50,"10,00",ABP 160 M6A,57497.00
6,11.00,"15,00",ABP 160 M2A,54894.00
6,11.00,"15,00",ABP 160 M4A,63957.00
6,11.00,"15,00",ABP 160 L6A,73346.00
6,15.00,"20,00",ABP 160 M2B,62183.00
6,15.00,"20,00",ABP 160 L4A,74958.00
6,15.00,"20,00",ABP 180 L6A,80333.00
6,18.50,"25,00",ABP 160 L2A,70026.00
6,18.50,"25,00",ABP 180 M4A,85067.00
6,18.50,"25,00",ABP 200 L6A,105649.00
6,22.00,"30,00",ABP 180 M2A,80363.00
6,22.00,"30,00",ABP 180 L4A,87649.00
6,22.00,"30,00",ABP 200 L6B,114165.00
6,30.00,"40,00",ABP 200 L2A,128724.00
6,30.00,"40,00",ABP 200 L4A,125952.00
6,30.00,"40,00",ABP 225 M6A,138172.00
6,37.00,"50,00",ABP 200 L2B,141236.00
6,37.00,"50,00",ABP 225 S4A,145612.00
6,37.00,"50,00",ABP 250 M6A,178758.00
6,45.00,"60,00",ABP 225 M2A,158044.00
6,45.00,"60,00",ABP 225 M4A,148802.00
6,45.00,"60,00",ABP 280 S6A,212077.00
6,55.00,"75,00",ABP 250 M2A,228312.00
6,55.00,"75,00",ABP 250 M4A,228972.00
6,55.00,"75,00",ABP 280 M6A,250910.00
6,75.00,"100,00",ABP 280 S2A,240828.00
6,75.00,"100,00",ABP 280 S4A,243111.00
6,75.00,"100,00",ABP 315 S6A,322455.00
6,90.00,"125,00",ABP 280 M2A,273280.00
6,90.00,"125,00",ABP 280 M4A,265499.00
6,90.00,"125,00",ABP 315 M6A,358652.00
6,110.00,"150,00",ABP 315 S2A,386573.00
6,110.00,"150,00",ABP 315 S4A,380072.00
6,110.00,"150,00",ABP 315 M6B,397433.00
6,132.00,"175,00",ABP 315 M2A,401396.00
6,132.00,"175,00",ABP 315 M4A,442816.00
6,132.00,"175,00",ABP 315 L6A,452362.00
6,160.00,"220,00",ABP 315 M2B,422938.00
6,160.00,"220,00",ABP 315 M4B,499622.00
6,160.00,"220,00",ABP 355 M6A,718144.00
6,185.00,"250,00",ABP 315 L2A,462683.00
6,185.00,"250,00",ABP 315 L4A,531982.00
6,200.00,"270,00",ABP 315 L2B,474668.00
6,200.00,"270,00",ABP 315 L4B,584620.00
6,200.00,"270,00",ABP 355 M6B,753259.00
6,250.00,"340,00",ABP 355 M2A,828151.00
6,250.00,"340,00",ABP 355 M4A,711315.00
6,250.00,"340,00",ABP 355 M6C,875160.00
6,315.00,"430,00",ABP 355 M2B,898115.00
6,315.00,"430,00",ABP 355 M4B,839023.00
6,315.00,"430,00",ABP 355 L6A,1009652.00
6,355.00,"483,00",ABP 355 M2C,965468.00
6,355.00,"483,00",ABP 355 M4C,877861.00
6,355.00,"483,00",ABP 355 L6B,1504394.00
6,400.00,"544,00",ABP 355 L4A,912043.00
6,400.00,"544,00",ABP 400 L6A,1595645.00
