page,family,code,torque_nm,price_variant,currency,price
2,,YBF 01,4-8,ÇIPLAK FREN,TL,2488
2,,YBF 01,4-8,MOTORA MONTAJLI SOĞUTMALI SOĞUTMASIZ,TL,4093
2,,YBF 01,4-8,,TL,3549
2,,YBF 01,4-8,T.FLANŞINA MONTAJLI,TL,3161
2,,YBF 01,4-8,IP67 SERİSİ,TL,6139
2,,YBF 02,8-12,ÇIPLAK FREN,TL,2803
2,,YBF 02,8-12,MOTORA MONTAJLI SOĞUTMALI SOĞUTMASIZ,TL,4783
2,,YBF 02,8-12,,TL,4187
2,,YBF 02,8-12,T.FLANŞINA MONTAJLI,TL,3507
2,,YBF 02,8-12,IP67 SERİSİ,TL,7175
2,,YBF 03,16-26,ÇIPLAK FREN,TL,3867
2,,YBF 03,16-26,MOTORA MONTAJLI SOĞUTMALI SOĞUTMASIZ,TL,5923
2,,YBF 03,16-26,,TL,5194
2,,YBF 03,16-26,T.FLANŞINA MONTAJLI,TL,4575
2,,YBF 03,16-26,IP67 SERİSİ,TL,8884
2,,YBF 04,26-48,ÇIPLAK FREN,TL,4980
2,,YBF 04,26-48,MOTORA MONTAJLI SOĞUTMALI SOĞUTMASIZ,TL,7581
2,,YBF 04,26-48,,TL,6724
2,,YBF 04,26-48,T.FLANŞINA MONTAJLI,TL,6269
2,,YBF 04,26-48,IP67 SERİSİ,TL,11372
2,,YBF 05,45-80,ÇIPLAK FREN,TL,6640
2,,YBF 05,45-80,MOTORA MONTAJLI SOĞUTMALI SOĞUTMASIZ,TL,9180
2,,YBF 05,45-80,,TL,8245
2,,YBF 05,45-80,T.FLANŞINA MONTAJLI,TL,7951
2,,YBF 05,45-80,IP67 SERİSİ,TL,13770
2,,YBF 06,80-120,ÇIPLAK FREN,TL,9102
2,,YBF 06,80-120,MOTORA MONTAJLI SOĞUTMALI SOĞUTMASIZ,TL,13061
2,,YBF 06,80-120,,TL,11596
2,,YBF 06,80-120,T.FLANŞINA MONTAJLI,TL,10609
2,,YBF 06,80-120,IP67 SERİSİ,TL,19592
2,,YBF 07,130-240,ÇIPLAK FREN,TL,13484
2,,YBF 07,130-240,MOTORA MONTAJLI SOĞUTMALI SOĞUTMASIZ,TL,19064
2,,YBF 07,130-240,,TL,16851
2,,YBF 07,130-240,T.FLANŞINA MONTAJLI,TL,15394
2,,YBF 07,130-240,IP67 SERİSİ,TL,28596
2,,YBF 08,240-400,ÇIPLAK FREN,TL,20150
2,,YBF 08,240-400,MOTORA MONTAJLI SOĞUTMALI SOĞUTMASIZ,TL,28918
2,,YBF 08,240-400,,TL,26163
2,,YBF 08,240-400,T.FLANŞINA MONTAJLI,TL,23498
2,,YBF 08,240-400,IP67 SERİSİ,TL,43376
2,,YBF 09,370-600,ÇIPLAK FREN,TL,28139
2,,YBF 09,370-600,MOTORA MONTAJLI SOĞUTMALI SOĞUTMASIZ,TL,39842
2,,YBF 09,370-600,,TL,37730
2,,YBF 09,370-600,T.FLANŞINA MONTAJLI,TL,31486
2,,YBF 09,370-600,IP67 SERİSİ,TL,59763
2,,YBF 09A,600-800,ÇIPLAK FREN,TL,31234
2,,YBF 09A,600-800,MOTORA MONTAJLI SOĞUTMALI SOĞUTMASIZ,TL,43459
2,,YBF 09A,600-800,,TL,39994
2,,YBF 09A,600-800,T.FLANŞINA MONTAJLI,TL,34950
2,,YBF 09A,600-800,IP67 SERİSİ,TL,65189
2,,YBF 10,800-1600,ÇIPLAK FREN,TL,91174
2,,YBF 10,800-1600,MOTORA MONTAJLI SOĞUTMALI SOĞUTMASIZ,TL,112868
2,,YBF 10,800-1600,,TL,107503
2,,YBF 10,800-1600,T.FLANŞINA MONTAJLI,TL,99725
2,,YBF 10,800-1600,IP67 SERİSİ,TL,169301
2,,YBF 11,1600-3200,ÇIPLAK FREN,TL,171039
2,,YBF 11,1600-3200,MOTORA MONTAJLI SOĞUTMALI SOĞUTMASIZ,TL,211597
2,,YBF 11,1600-3200,,TL,197767
2,,YBF 11,1600-3200,T.FLANŞINA MONTAJLI,TL,190812
2,,YBF 11,1600-3200,IP67 SERİSİ,TL,317395
3,,YBF 01,,BOBİNLİ STATOR,TL,1907
3,,YBF 01,,DİŞLİ,TL,447
3,,YBF 01,,BALATA,TL,829
3,,YBF 01,,B. STATOR DİŞLİ SETİ,TL,2043
3,,YBF 01,,B. STATOR BALATA SETİ,TL,2228
3,,YBF 01,,MANUEL KOL,TL,629
3,,YBF 01,,TOZ LASTİĞİ,TL,263
3,,YBF 01,,TOZ KEÇESİ,TL,266
3,,YBF 02,,BOBİNLİ STATOR,TL,2200
3,,YBF 02,,DİŞLİ,TL,485
3,,YBF 02,,BALATA,TL,890
3,,YBF 02,,B. STATOR DİŞLİ SETİ,TL,2323
3,,YBF 02,,B. STATOR BALATA SETİ,TL,2519
3,,YBF 02,,MANUEL KOL,TL,645
3,,YBF 02,,TOZ LASTİĞİ,TL,266
3,,YBF 02,,TOZ KEÇESİ,TL,267
3,,YBF 03,,BOBİNLİ STATOR,TL,3151
3,,YBF 03,,DİŞLİ,TL,566
3,,YBF 03,,BALATA,TL,1042
3,,YBF 03,,B. STATOR DİŞLİ SETİ,TL,3294
3,,YBF 03,,B. STATOR BALATA SETİ,TL,3524
3,,YBF 03,,MANUEL KOL,TL,705
3,,YBF 03,,TOZ LASTİĞİ,TL,313
3,,YBF 03,,TOZ KEÇESİ,TL,312
3,,YBF 04,,BOBİNLİ STATOR,TL,4347
3,,YBF 04,,DİŞLİ,TL,694
3,,YBF 04,,BALATA,TL,1584
3,,YBF 04,,B. STATOR DİŞLİ SETİ,TL,4502
3,,YBF 04,,B. STATOR BALATA SETİ,TL,4933
3,,YBF 04,,MANUEL KOL,TL,924
3,,YBF 04,,TOZ LASTİĞİ,TL,392
3,,YBF 04,,TOZ KEÇESİ,TL,394
3,,YBF 05,,BOBİNLİ STATOR,TL,5584
3,,YBF 05,,DİŞLİ,TL,707
3,,YBF 05,,BALATA,TL,1757
3,,YBF 05,,B. STATOR DİŞLİ SETİ,TL,5673
3,,YBF 05,,B. STATOR BALATA SETİ,TL,6202
3,,YBF 05,,MANUEL KOL,TL,1222
3,,YBF 05,,TOZ LASTİĞİ,TL,422
3,,YBF 05,,TOZ KEÇESİ,TL,420
3,,YBF 06,,BOBİNLİ STATOR,TL,7873
3,,YBF 06,,DİŞLİ,TL,893
3,,YBF 06,,BALATA,TL,1992
3,,YBF 06,,B. STATOR DİŞLİ SETİ,TL,7977
3,,YBF 06,,B. STATOR BALATA SETİ,TL,8509
3,,YBF 06,,MANUEL KOL,TL,2250
3,,YBF 06,,TOZ LASTİĞİ,TL,521
3,,YBF 06,,TOZ KEÇESİ,TL,524
3,,YBF 07,,BOBİNLİ STATOR,TL,12577
3,,YBF 07,,DİŞLİ,TL,1176
3,,YBF 07,,BALATA,TL,2302
3,,YBF 07,,B. STATOR DİŞLİ SETİ,TL,12622
3,,YBF 07,,B. STATOR BALATA SETİ,TL,13168
3,,YBF 07,,MANUEL KOL,TL,3362
3,,YBF 07,,TOZ LASTİĞİ,TL,622
3,,YBF 07,,TOZ KEÇESİ,TL,624
3,,YBF 08,,BOBİNLİ STATOR,TL,18434
3,,YBF 08,,DİŞLİ,TL,1966
3,,YBF 08,,BALATA,TL,2784
3,,YBF 08,,B. STATOR DİŞLİ SETİ,TL,19345
3,,YBF 08,,B. STATOR BALATA SETİ,TL,19963
3,,YBF 08,,MANUEL KOL,TL,4970
3,,YBF 08,,TOZ LASTİĞİ,TL,724
3,,YBF 08,,TOZ KEÇESİ,TL,723
3,,YBF 09,,BOBİNLİ STATOR,TL,26070
3,,YBF 09,,DİŞLİ,TL,3191
3,,YBF 09,,BALATA,TL,3270
3,,YBF 09,,B. STATOR DİŞLİ SETİ,TL,27318
3,,YBF 09,,B. STATOR BALATA SETİ,TL,27364
3,,YBF 09,,MANUEL KOL,TL,6774
3,,YBF 09,,TOZ LASTİĞİ,TL,966
3,,YBF 09,,TOZ KEÇESİ,TL,963
3,,YBF 09A,,BOBİNLİ STATOR,TL,29794
3,,YBF 09A,,DİŞLİ,TL,3191
3,,YBF 09A,,BALATA,TL,3270
3,,YBF 09A,,B. STATOR DİŞLİ SETİ,TL,30649
3,,YBF 09A,,B. STATOR BALATA SETİ,TL,30701
3,,YBF 09A,,MANUEL KOL,TL,6774
3,,YBF 09A,,TOZ LASTİĞİ,TL,966
3,,YBF 09A,,TOZ KEÇESİ,TL,963
3,,YBF 10,,BOBİNLİ STATOR,TL,80467
3,,YBF 10,,DİŞLİ,TL,6805
3,,YBF 10,,BALATA,TL,20612
3,,YBF 10,,B. STATOR DİŞLİ SETİ,TL,83060
