page,ie_class,power_kw,motor_type,price_tl
3,IE2,0.18,M22D 71 M 2a,5598
3,IE2,0.25,M22D 71 M 2b,5833
3,IE2,0.37,M22D 71 M 2c,5910
3,IE2,0.55,M22D 71 M 2d,6125
3,IE2,0.37,M22D 80 M 2a,6841
3,IE2,0.55,M22D 80 M 2b,7134
3,IE2,0.75,M22D 80 M 2c,7314
3,IE2,1.1,M22D 80 M 2d,7639
3,IE2,0.12,M22D 71 M 4a,5681
3,IE2,0.18,M22D 71 M 4b,5794
3,IE2,0.25,M22D 71 M 4c,6153
3,IE2,0.37,M22D 71 M 4d,6564
3,IE2,0.37,M22D 80 M 4a,7097
3,IE2,0.55,M22D 80 M 4b,8265
3,IE2,0.75,M22D 80 H 4c,9424
4,IE2,0.18,MS22D 71 M 2a,6735
4,IE2,0.25,MS22D 71 M 2b,7103
4,IE2,0.37,MS22D 71 M 2c,7290
4,IE2,0.55,MS22D 71 M 2d,7985
4,IE2,0.37,MS22D 80 M 2a,8082
4,IE2,0.55,MS22D 80 M 2b,8371
4,IE2,0.75,MS22D 80 M 2c,9049
4,IE2,1.1,MS22D 80 M 2d,9818
4,IE2,0.75,MS22D 90 S 2a,10777
4,IE2,1.1,MS22D 90 S 2b,11158
4,IE2,1.5,MS22D 90 S 2c,11931
4,IE2,1.8,MS22D 90 L 2d,12317
4,IE2,2.2,MS22D 90 L 2e,13315
4,IE2,0.12,MS22D 71 M 4a,6939
4,IE2,0.18,MS22D 71 M 4b,7125
4,IE2,0.25,MS22D 71 M 4c,7552
4,IE2,0.37,MS22D 71 M 4d,8022
4,IE2,0.37,MS22D 80 M 4a,8850
4,IE2,0.55,MS22D 80 M 4b,10024
4,IE2,0.75,MS22D 80 H 4c,10165
4,IE2,0.55,MS22D 90 S 4a,10393
4,IE2,0.75,MS22D 90 S 4b,10737
4,IE2,1.1,MS22D 90 S 4c,11546
4,IE2,1.5,MS22D 90 L 4d,12351
4,IE2,1.8,MS22D 100 L 4a,16435
4,IE2,2.2,MS22D 100 L 4b,17512
5,IE2,0.18,MK22D 71 M 2a,6852
5,IE2,0.25,MK22D 71 M 2b,6972
5,IE2,0.37,MK22D 71 M 2c,7177
5,IE2,0.55,MK22D 71 M 2d,7464
5,IE2,0.37,MK22D 80 M 2a,7813
5,IE2,0.55,MK22D 80 M 2b,7935
5,IE2,0.75,MK22D 80 M 2c,9378
5,IE2,1.1,MK22D 80 M 2d,9559
5,IE2,0.75,MK22D 90 S 2a,9738
