currency,series,page,power_kw,power_hp,output_rpm,type_full,gearbox,motor,price_foot,price_flange
TL,İRM,4,0.12,,"0,28-0,44",İRPM 93 İR 63 / 63 M4a(*P),İRPM 93 İR 63,63 M4a(*P),78098.00,85911.00
TL,İRM,4,0.12,0.16,"0,47-1,3",İRPM 92 İR 63 / 63 M4a(*P),İRPM 92 İR 63,63 M4a(*P),76071.00,83883.00
TL,İRM,4,0.12,0.16,"0,47-0,76",İRPM 83 İR 63 / 63 M4a(*P),İRPM 83 İR 63,63 M4a(*P),64767.00,71136.00
TL,İRM,4,0.12,0.16,"0,79-2,3",İRPM 82 İR 63 / 63 M4a(*P),İRPM 82 İR 63,63 M4a(*P),63737.00,70108.00
TL,İRM,4,0.12,0.16,"1,0-3,8",İRPM 73 İR 52 / 63 M4a(*P),İRPM 73 İR 52,63 M4a(*P),41299.00,45431.00
TL,İRM,4,0.12,0.16,"2,4-4,4",İRPM 74 / 63 M4a(*P),İRPM 74,63 M4a(*P),36022.00,39624.00
TL,İRM,4,0.12,0.16,"1,6-4,6",İRPM 731 İR 52 / 63 M4a(*P),İRPM 731 İR 52,63 M4a(*P),38778.00,42669.00
TL,İRM,4,0.12,0.16,"1,8-4,6",İRPM 721 İR 53 / 63 M4a(*P),İRPM 721 İR 53,63 M4a(*P),38634.00,42501.00
TL,İRM,4,0.12,0.16,"2,2-4,6",İRPM 741 / 63 M4a(*P),İRPM 741,63 M4a(*P),33328.00,36975.00
TL,İRM,4,0.12,0.16,"1,8-6,5",İRM 63 İR 52 / 63 M4a(*P),İRM 63 İR 52,63 M4a(*P),30541.00,33611.00
TL,İRM,4,0.12,0.16,"6,0-10",İRM 62 İR 52 / 63 M4a(*P),İRM 62 İR 52,63 M4a(*P),30015.00,33085.00
TL,İRM,4,0.12,0.16,"3,2-5,0",İRPM 64 / 63 M4a(*P),İRPM 64,63 M4a(*P),24323.00,26836.00
TL,İRM,4,0.12,0.16,"3,7-14",İRM 53 İR 42 / 63 M4a,İRM 53 İR 42,63 M4a,25201.00,26608.00
TL,İRM,4,0.12,0.16,13-20,İRPM 53 / 63 M4a(*P),İRPM 53,63 M4a(*P),15410.00,16949.00
TL,İRM,4,0.12,0.16,17-120,İRM 43 / 63 M4a,İRM 43,63 M4a,13189.00,14505.00
TL,İRM,4,0.12,0.16,124-405,İRM 42 / 63 M4a,İRM 42,63 M4a,13048.00,14353.00
TL,İRM,4,0.18,0.16,"0,53-1,4",İRPM 93 İR 63 / 63 M4b(*P),İRPM 93 İR 63,63 M4b(*P),78163.00,85970.00
TL,İRM,4,0.18,0.25,"0,78-2,3",İRPM 83 İR 63 / 63 M4b(*P),İRPM 83 İR 63,63 M4b(*P),64863.00,71256.00
TL,İRM,4,0.18,0.25,"1,2-2,9",İRM 84 / 71 M6a,İRM 84,71 M6a,58258.00,64082.00
TL,İRM,4,0.18,0.25,"1,2-5,7",İRM 73 İR 52 / 63 M4b (*P),İRM 73 İR 52,63 M4b (*P),41451.00,45593.00
TL,İRM,4,0.18,0.25,"1,5-2,5",İRM 74 / 71 M6a,İRM 74,71 M6a,37023.00,40660.00
TL,İRM,4,0.18,0.25,"2,4-4,9",İRM 74 / 63 M4b(*P),İRM 74,63 M4b(*P),36209.00,39831.00
TL,İRM,4,0.18,0.25,"5,8",İRM 73 / 71 M6a,İRM 73,71 M6a,30829.00,33907.00
TL,İRM,4,0.18,0.25,"2,3-3,5",İRPM 731 İR 52 / 63 M4b(*P),İRPM 731 İR 52,63 M4b(*P),39032.00,42896.00
TL,İRM,4,0.18,0.25,"2,6-4,5",İRPM 721 İR 53 / 63 M4b(*P),İRPM 721 İR 53,63 M4b(*P),38742.00,42597.00
TL,İRM,4,0.18,0.25,"2,0-2,6",İRM 741 / 71 M6a,İRM 741,71 M6a,34919.00,38565.00
TL,İRM,4,0.18,0.25,"2,2-7,4",İRPM 741 / 63 M4b(*P),İRPM 741,63 M4b(*P),33508.00,37155.00
TL,İRM,4,0.18,0.25,"5,9-8,9",İRM 731 / 71 M6a,İRM 731,71 M6a,28163.00,30968.00
TL,İRM,4,0.18,0.25,"2,9-6,5",İRPM 63 İR 52 / 63 M4b(*P),İRPM 63 İR 52,63 M4b(*P),30680.00,33740.00
TL,İRM,4,0.18,0.25,"6,0-10",İRPM 62 İR 52 / 63 M4b(*P),İRPM 62 İR 52,63 M4b(*P),30144.00,33201.00
TL,İRM,4,0.18,0.25,"2,8-3,0",İRM 64 / 71 M6a,İRM 64,71 M6a,27086.00,29913.00
TL,İRM,4,0.18,0.25,"3,2-8,9",İRM 64 / 63 M4b(*P),İRM 64,63 M4b(*P),27678.00,30503.00
TL,İRM,4,0.18,0.25,"7,0-7,5",İRPM 63 / 71 M6a(*P),İRPM 63,71 M6a(*P),22826.00,25006.00
TL,İRM,4,0.18,0.25,"9,3-10",İRM 63 / 71 M6a,İRM 63,71 M6a,21855.00,24035.00
TL,İRM,4,0.18,0.25,10-11,İRM 63 / 63 M4b(*P),İRM 63,63 M4b(*P),22585.00,24755.00
TL,İRM,4,0.18,0.25,"7,0-7,5",İRPM 631 / 71 M6a(*P),İRPM 631,71 M6a(*P),22838.00,25118.00
TL,İRM,4,0.18,0.25,"9,3-10",İRM 631 / 71 M6a,İRM 631,71 M6a,21854.00,24036.00
TL,İRM,4,0.18,0.25,10-11,İRM 631 / 63 M4b(*P),İRM 631,63 M4b(*P),20492.00,24853.00
TL,İRM,4,0.18,0.25,"5,9-14",İRM 53 İR 42 / 63 M4b,İRM 53 İR 42,63 M4b,25339.00,26741.00
TL,İRM,4,0.18,0.25,"8,5-11",İRPM 53 / 71 M6a(*P),İRPM 53,71 M6a(*P),16668.00,18290.00
TL,İRM,4,0.18,0.25,13-28,İRPM 53 / 63 M4b(*P),İRPM 53,63 M4b(*P),15740.00,17465.00
TL,İRM,4,0.18,0.25,16-19,İRM 43 / 71 M6a,İRM 43,71 M6a,14260.00,15807.00
TL,İRM,4,0.18,0.25,17-120,İRM 43 / 63 M4b,İRM 43,63 M4b,13343.00,14799.00
TL,İRM,4,0.18,0.25,124-405,İRM 42 / 63 M4b,İRM 42,63 M4b,13202.00,14645.00
TL,İRM,4,0.18,0.25,407-812,İRM 42 / 63 M2a,İRM 42,63 M2a,13260.00,14713.00
TL,İRM,5,0.25,,"0,13-0,48",İRM 143 IR 73 / 71 M4a,İRM 143 IR 73,71 M4a,239998.00,264221.00
TL,İRM,5,0.25,0.34,"0,19-0,42",İRM 123 IR 73 / 71 M4a,İRM 123 IR 73,71 M4a,136918.00,153324.00
TL,İRM,5,0.25,0.34,"0,34-0,60",İRM 122 IR 73 / 71 M4a,İRM 122 IR 73,71 M4a,135030.00,152617.00
TL,İRM,5,0.25,0.34,"0,29-0,57",İRM 103 IR 73 / 71 M4a,İRM 103 IR 73,71 M4a,109544.00,120492.00
