currency,series,page,gearbox,iec_flange,price_foot,price_flange
TL,İRP,16,İRP 42,IEC 63 B5 / B14,10446.00,11491.00
TL,İRP,16,İRP 42,IEC 71 B5 / B14,10508.00,11562.00
TL,İRP,16,İRP 42,IEC 80 B5 / B14,11000.00,12095.00
TL,İRP,16,İRP 42,IEC 90 B5 / B14,11000.00,12095.00
TL,İRP,16,İRP 43,IEC 63 B5 / B14,10643.00,11704.00
TL,İRP,16,İRP 43,IEC 71 B5 / B14,10712.00,11779.00
TL,İRP,16,İRP 43,IEC 80 B5 / B14,11179.00,12290.00
TL,İRP,16,İRP 43,IEC 90 B5 /B14,11179.00,12290.00
TL,İRP,16,İRP 52,IEC 71 B5 / B14,12528.00,13775.00
TL,İRP,16,İRP 52,IEC 80 B5 / B14,13008.00,14306.00
TL,İRP,16,İRP 52,IEC 90 B5 / B14,13008.00,14306.00
TL,İRP,16,İRP 52,IEC 100 B5 / B14,13493.00,14833.00
TL,İRP,16,İRP 52,IEC 112 B5 / B14,13493.00,14833.00
TL,İRP,16,İRP 53,IEC 63 B5 / B14,12961.00,14253.00
TL,İRP,16,İRP 53,IEC 71 B5 / B14,13028.00,14329.00
TL,İRP,16,İRP 53,IEC 80 B5 / B14,13500.00,14849.00
TL,İRP,16,İRP 53,IEC 90 B5 / B14,13500.00,14849.00
TL,İRP,16,İRP 53,IEC 100 B5 / B14,13952.00,15346.00
TL,İRP,16,İRP 53,IEC 112 B5 / B14,13952.00,15346.00
TL,İRP,16,İRP 53 İR 42,IEC 63 B5 / B14,23788.00,25349.00
TL,İRP,16,İRP 53 İR 42,IEC 71 B5 / B14,23934.00,25538.00
TL,İRP,16,İRP 621,IEC 80 B5 / B14,18787.00,20674.00
TL,İRP,16,İRP 621,IEC 90 B5 / B14,18787.00,20674.00
TL,İRP,16,İRP 621,IEC 100 B5 / B14,19134.00,21047.00
TL,İRP,16,İRP 621,IEC 112 B5 / B14,19134.00,21047.00
TL,İRP,16,İRP 621,IEC 132 B5 / B14,19841.00,21822.00
TL,İRP,16,İRP 631,IEC 63 B5,19118.00,21024.00
TL,İRP,16,İRP 631,IEC 71 B5,19125.00,21033.00
TL,İRP,16,İRP 631,IEC 80 B5 / B14,19366.00,21300.00
TL,İRP,16,İRP 631,IEC 90 B5 / B14,19366.00,21300.00
TL,İRP,16,İRP 631,IEC 100 B5 / B14,19836.00,21820.00
TL,İRP,16,İRP 631,IEC 112 B5 / B14,19836.00,21820.00
TL,İRP,16,İRP 62,IEC 80 B5 / B14,19181.00,21098.00
TL,İRP,16,İRP 62,IEC 90 B5 / B14,19181.00,21098.00
TL,İRP,16,İRP 62,IEC 100 B5 / B14,19517.00,21461.00
TL,İRP,16,İRP 62,IEC 112 B5 / B14,19517.00,21461.00
TL,İRP,16,İRP 62,IEC 132 B5 / B14,20161.00,22179.00
TL,İRP,16,İRP 63,IEC 63 B5,19474.00,21422.00
TL,İRP,16,İRP 63,IEC 71 B5,19546.00,21493.00
TL,İRP,16,İRP 63,IEC 80 B5 / B14,19821.00,21804.00
TL,İRP,16,İRP 63,IEC 90 B5 / B14,19821.00,21804.00
TL,İRP,16,İRP 63,IEC 100 B5 / B14,20159.00,22171.00
TL,İRP,16,İRP 63,IEC 112 B5 / B14,20159.00,22171.00
TL,İRP,16,İRP 64,IEC 63 B5 / B14,24030.00,26423.00
TL,İRP,16,İRP 64,IEC 71 B5 / B14,24202.00,26458.00
TL,İRP,16,İRP 63 İR 52,IEC 63 B5 / B14,29490.00,32439.00
TL,İRP,16,İRP 63 İR 52,IEC 71 B5 / B14,29560.00,32518.00
TL,İRP,16,İRP 63 İR 52,IEC 80 B5 / B14,30030.00,33034.00
TL,İRP,16,İRP 63 İR 52,IEC 90 B5 / B14,30030.00,33034.00
TL,İRP,17,İRP 721,IEC 80 B5,26000.00,28600.00
TL,İRP,17,İRP 721,IEC 90 B5 / B14,26000.00,28600.00
TL,İRP,17,İRP 721,IEC 100 B5 / B14,26786.00,29465.00
TL,İRP,17,İRP 721,IEC 112 B5 / B14,26786.00,29465.00
TL,İRP,17,İRP 721,IEC 132 B5 / B14,27370.00,30104.00
TL,İRP,17,İRP 731,IEC 71 B5,26335.00,28965.00
TL,İRP,17,İRP 731,IEC 80 B5,26837.00,29518.00
TL,İRP,17,İRP 731,IEC 90 B5 / B14,26837.00,29518.00
TL,İRP,17,İRP 731,IEC 100 B5 / B14,27624.00,30387.00
TL,İRP,17,İRP 731,IEC 112 B5 / B14,27624.00,30387.00
TL,İRP,17,İRP 731,IEC 132 B5 / B14,28203.00,31024.00
TL,İRP,17,İRP 741,IEC 63 B5,33319.00,36647.00
TL,İRP,17,İRP 741,IEC 71 B5,33633.00,36996.00
TL,İRP,17,İRP 741,IEC 80 B5 / B14,33886.00,37270.00
TL,İRP,17,İRP 721 İR 53,IEC 63 B5 / B14,38689.00,42552.00
TL,İRP,17,İRP 721 İR 53,IEC 71 B5 / B14,39000.00,42898.00
TL,İRP,17,İRP 721 İR 53,IEC 80 B5 / B14,39247.00,43171.00
TL,İRP,17,İRP 72,IEC 90 B5 / B14,29044.00,31940.00
TL,İRP,17,İRP 72,IEC 100 B5 / B14,29840.00,32819.00
TL,İRP,17,İRP 72,IEC 112 B5 / B14,29840.00,32819.00
TL,İRP,17,İRP 72,IEC 132 B5 / B14,30425.00,33470.00
TL,İRP,17,İRP 72,IEC 160 B5 / B14,32718.00,35990.00
TL,İRP,17,İRP 73,IEC 71 B5,29481.00,32422.00
TL,İRP,17,İRP 73,IEC 80 B5,29992.00,32983.00
TL,İRP,17,İRP 73,IEC 90 B5 / B14,29992.00,32983.00
TL,İRP,17,İRP 73,IEC 100 B5 / B14,30787.00,33867.00
TL,İRP,17,İRP 73,IEC 112 B5 / B14,30787.00,33867.00
TL,İRP,17,İRP 73,IEC 132 B5 / B14,31376.00,34509.00
TL,İRP,17,İRP 74,IEC 63 B5,36645.00,40311.00
TL,İRP,17,İRP 74,IEC 71 B5 / B14,36967.00,40663.00
TL,İRP,17,İRP 74,IEC 80 B5 / B14,37172.00,40888.00
TL,İRP,17,İRP 74,IEC 90 B5 / B14,37172.00,40888.00
TL,İRP,17,İRP 73 İR 52,IEC 63 B5 / B14,42066.00,46268.00
TL,İRP,17,İRP 73 İR 52,IEC 71 B5 / B14,42382.00,46620.00
TL,İRP,17,İRP 73 İR 52,IEC 80 B5 / B14,42654.00,46917.00
TL,İRP,17,İRP 82,IEC 100 B5 / B14,49238.00,54160.00
TL,İRP,17,İRP 82,IEC 112 B5 / B14,49238.00,54160.00
TL,İRP,17,İRP 82,IEC 132 B5 / B14,49871.00,54858.00
TL,İRP,17,İRP 82,IEC 160 B5 / B14,52391.00,57633.00
TL,İRP,17,İRP 82,IEC 180 B5,53721.00,59092.00
TL,İRP,17,İRP 83,IEC 80 B5,49160.00,53826.00
TL,İRP,17,İRP 83,IEC 90 B5,49160.00,53826.00
TL,İRP,17,İRP 83,IEC 100 B5 / B14,50322.00,55348.00
TL,İRP,17,İRP 83,IEC 112 B5 / B14,50322.00,55348.00
TL,İRP,17,İRP 83,IEC 132 B5 / B14,51005.00,56101.00
TL,İRP,17,İRP 83,IEC 160 B5 / B14,53558.00,58912.00
TL,İRP,18,İRP 84,IEC 71 B5,59087.00,64935.00
TL,İRP,18,İRP 84,IEC 80 B5,59596.00,65490.00
TL,İRP,18,İRP 84,IEC 90 B5 / B14,59596.00,65490.00
TL,İRP,18,İRP 82 İR 63,IEC 63 B5,66091.00,72627.00
TL,İRP,18,İRP 82 İR 63,IEC 71 B5,66405.00,72977.00
TL,İRP,18,İRP 82 İR 63,IEC 80 B5,66691.00,73359.00
TL,İRP,18,İRP 82 İR 63,IEC 90 B5,66691.00,73359.00
TL,İRP,18,İRP 83 İR 63,IEC 63 B5,66731.00,73332.00
