page,table,cells
1,,M Pri | M | A- | MK | S | ER | IES
1,,ce | Lis
1,,F0 | 0 | 26
1,,.0 | 1.202 | 6
2,MAE/MKE SERIES SPLINED EXTRUDER SHAFT PRICE LIST(€,GEARBOX TYPE | DIN 5480 | (ØD) | PRICE (€)
2,MAE/MKE SERIES SPLINED EXTRUDER SHAFT PRICE LIST(€,"MAE /MKE …4 | N60x2x30x28x9H | Ø60 | 258,00 €"
2,MAE/MKE SERIES SPLINED EXTRUDER SHAFT PRICE LIST(€,"MAE /MKE …5 | N70x3x30x22x9H | Ø70 | 275,00 €"
2,MAE/MKE SERIES SPLINED EXTRUDER SHAFT PRICE LIST(€,"MAE /MKE …6 | N80x3x30x25x9H | Ø80 | 317,00 €"
2,MAE/MKE SERIES SPLINED EXTRUDER SHAFT PRICE LIST(€,"MAE /MKE …7 | N90x3x30x28x9H | Ø90 | 390,00 €"
2,MAE/MKE SERIES SPLINED EXTRUDER SHAFT PRICE LIST(€,"MAE /MKE …8 | N100x4x30x24x9H | Ø100 | 499,00 €"
2,MAE/MKE SERIES SPLINED EXTRUDER SHAFT PRICE LIST(€,"MAE /MKE …9 | N110x4x30x26x9H | Ø110 | 614,00 €"
2,MAE/MKE SERIES SPLINED EXTRUDER SHAFT PRICE LIST(€,"MAE /MKE …10 | N120x4x30x28x9H | Ø120 | 787,00 €"
2,MAE/MKE SERIES SPLINED EXTRUDER SHAFT PRICE LIST(€,"MAE /MKE …11 | N130x4x30x31x9H | Ø130 | 916,00 €"
2,MAE/MKE SERIES SPLINED EXTRUDER SHAFT PRICE LIST(€,"MAE /MKE …12 | N140x4x30x34x9H | Ø140 | 1.142,00 €"
2,MA/MK SERIES SPLINED SHAFT PRICE LIST(€),GEARBOX TYPE | SPLINED SHAFT (€) | DRUM CONNECTION FLANGE (€)
2,MA/MK SERIES SPLINED SHAFT PRICE LIST(€),"MA /MK …4 | 223,00 € | 148,00 €"
2,MA/MK SERIES SPLINED SHAFT PRICE LIST(€),"MA /MK …5 | 288,00 € | 191,00 €"
2,MA/MK SERIES SPLINED SHAFT PRICE LIST(€),"MA /MK …6 | 335,00 € | 223,00 €"
2,MA/MK SERIES SPLINED SHAFT PRICE LIST(€),"MA /MK …7 | 410,00 € | 273,00 €"
2,MA/MK SERIES SPLINED SHAFT PRICE LIST(€),"MA /MK …8 | 527,00 € | 348,00 €"
2,MA/MK SERIES SPLINED SHAFT PRICE LIST(€),"MA /MK …9 | 647,00 € | 429,00 €"
2,MA/MK SERIES SPLINED SHAFT PRICE LIST(€),"MA /MK …10 | 826,00 € | 541,00 €"
2,MA/MK SERIES SPLINED SHAFT PRICE LIST(€),"MA /MK …11 | 956,00 € | 632,00 €"
