currency,page,table,cells
TL,1,,M | A | - | M | K | S | er | is | i
TL,1,,Fi | ya | t | Li | st | es | i
TL,1,,F0 | 0
TL,1,,2 | 6. | 0 | 1. | 20 | 2 | 6
TL,1,,2 | 02 | 6
TL,2,MAE / MKE SERİSİ ÇOKLU KAMA FİYAT LİSTESİ (TL,REDÜKTÖR TİPİ | DIN 5480 | ÇAP (Ø) | FİYAT (TL)
TL,2,MAE / MKE SERİSİ ÇOKLU KAMA FİYAT LİSTESİ (TL,"MAE /MKE …4 | N60x2x30x28x9H | Ø60 | 12.089,00"
TL,2,MAE / MKE SERİSİ ÇOKLU KAMA FİYAT LİSTESİ (TL,"MAE /MKE …5 | N70x3x30x22x9H | Ø70 | 12.924,00"
TL,2,MAE / MKE SERİSİ ÇOKLU KAMA FİYAT LİSTESİ (TL,"MAE /MKE …6 | N80x3x30x25x9H | Ø80 | 14.868,00"
TL,2,MAE / MKE SERİSİ ÇOKLU KAMA FİYAT LİSTESİ (TL,"MAE /MKE …7 | N90x3x30x28x9H | Ø90 | 18.328,00"
TL,2,MAE / MKE SERİSİ ÇOKLU KAMA FİYAT LİSTESİ (TL,"MAE /MKE …8 | N100x4x30x24x9H | Ø100 | 23.438,00"
TL,2,MAE / MKE SERİSİ ÇOKLU KAMA FİYAT LİSTESİ (TL,"MAE /MKE …9 | N110x4x30x26x9H | Ø110 | 28.835,00"
TL,2,MAE / MKE SERİSİ ÇOKLU KAMA FİYAT LİSTESİ (TL,"MAE /MKE …10 | N120x4x30x28x9H | Ø120 | 36.979,00"
TL,2,MAE / MKE SERİSİ ÇOKLU KAMA FİYAT LİSTESİ (TL,"MAE /MKE …11 | N130x4x30x31x9H | Ø130 | 43.030,00"
TL,2,MAE / MKE SERİSİ ÇOKLU KAMA FİYAT LİSTESİ (TL,"MAE /MKE …12 | N140x4x30x34x9H | Ø140 | 53.670,00"
TL,2,MA / MK SERİSİ ÇOKLU KAMALI ÇIKIŞ MİLİ FİYAT ,REDÜKTÖR TİPİ | ÇIKIŞ MİLİ (TL) | TAMBUR BAĞLANTI FLANŞI (TL)
TL,2,MA / MK SERİSİ ÇOKLU KAMALI ÇIKIŞ MİLİ FİYAT ,"MA /MK …4 | 10.446,00 | 6.937,00"
TL,2,MA / MK SERİSİ ÇOKLU KAMALI ÇIKIŞ MİLİ FİYAT ,"MA /MK …5 | 13.512,00 | 8.971,00"
TL,2,MA / MK SERİSİ ÇOKLU KAMALI ÇIKIŞ MİLİ FİYAT ,"MA /MK …6 | 15.735,00 | 10.455,00"
TL,2,MA / MK SERİSİ ÇOKLU KAMALI ÇIKIŞ MİLİ FİYAT ,"MA /MK …7 | 19.242,00 | 12.811,00"
TL,2,MA / MK SERİSİ ÇOKLU KAMALI ÇIKIŞ MİLİ FİYAT ,"MA /MK …8 | 24.728,00 | 16.315,00"
TL,2,MA / MK SERİSİ ÇOKLU KAMALI ÇIKIŞ MİLİ FİYAT ,"MA /MK …9 | 30.392,00 | 20.160,00"
TL,2,MA / MK SERİSİ ÇOKLU KAMALI ÇIKIŞ MİLİ FİYAT ,"MA /MK …10 | 38.785,00 | 25.416,00"
TL,2,MA / MK SERİSİ ÇOKLU KAMALI ÇIKIŞ MİLİ FİYAT ,"MA /MK …11 | 44.893,00 | 29.669,00"
TL,2,MA / MK SERİSİ ÇOKLU KAMALI ÇIKIŞ MİLİ FİYAT ,"MA /MK …12 | 55.744,00 | 37.003,00"
TL,2,MEKANİK KİLİT (MA/MK SERİSİ),MEKANİK KİLİT (MA/MK SERİSİ) | FİYAT (TL)
TL,2,MEKANİK KİLİT (MA/MK SERİSİ),"MA /MK …4 | 27.075,00"
TL,2,MEKANİK KİLİT (MA/MK SERİSİ),"MA /MK …5 | 31.193,00"
TL,2,MEKANİK KİLİT (MA/MK SERİSİ),"MA /MK …6 | 31.193,00"
TL,2,MEKANİK KİLİT (MA/MK SERİSİ),"MA /MK …7 | 36.541,00"
TL,2,MEKANİK KİLİT (MA/MK SERİSİ),"MA /MK …8 | 36.541,00"
TL,2,MEKANİK KİLİT (MA/MK SERİSİ),"MA /MK …9 | 39.554,00"
TL,2,MEKANİK KİLİT (MA/MK SERİSİ),"MA /MK …10 | 39.554,00"
TL,2,MEKANİK KİLİT (MA/MK SERİSİ),"MA /MK …11 | 51.024,00"
TL,2,MEKANİK KİLİT (MA/MK SERİSİ),"MA /MK …12 | 51.024,00"
TL,3,ÖZEL İSTEK FİYAT FARKLARI - 2,CEBRİ YAĞLAMA (MA/MK…. SERİSİ) | FİYAT (TL) | SERPANTİN SOĞUTMA (MA/MK…. SERİSİ) | FİYAT (TL)
TL,3,ÖZEL İSTEK FİYAT FARKLARI - 2,"MA /MK 4… | 11.678,00 | MA /MK 4… | 22.873,00"
TL,3,ÖZEL İSTEK FİYAT FARKLARI - 2,"MA /MK 5... | 13.480,00 | MA /MK 5... | 24.511,00"
TL,3,ÖZEL İSTEK FİYAT FARKLARI - 2,"MA /MK 6… | 13.578,00 | MA /MK 6… | 29.003,00"
TL,3,ÖZEL İSTEK FİYAT FARKLARI - 2,"MA /MK 7… | 15.533,00 | MA /MK 7… | 32.996,00"
TL,3,ÖZEL İSTEK FİYAT FARKLARI - 2,"MA /MK 8… | 15.533,00 | MA /MK 8… | 41.211,00"
TL,3,ÖZEL İSTEK FİYAT FARKLARI - 2,"MA /MK 9… | 19.334,00 | MA /MK 9… | 49.009,00"
TL,3,ÖZEL İSTEK FİYAT FARKLARI - 2,"MA /MK 10… | 19.334,00 | MA /MK 10… | 56.697,00"
TL,3,ÖZEL İSTEK FİYAT FARKLARI - 2,"MA /MK 11… | 32.358,00 | MA /MK 11… | 70.869,00"
TL,3,ÖZEL İSTEK FİYAT FARKLARI - 2,"MA /MK 12… | 32.358,00 | MA /MK 12… | 82.868,00"
TL,3,FAN SOĞUTMA (MA…. SERİSİ),FAN SOĞUTMA (MA…. SERİSİ) | FİYAT (TL)
TL,3,FAN SOĞUTMA (MA…. SERİSİ),"MA 4… | 13.100,00"
TL,3,FAN SOĞUTMA (MA…. SERİSİ),"MA 5... | 17.212,00"
TL,3,FAN SOĞUTMA (MA…. SERİSİ),"MA 6… | 17.212,00"
TL,3,FAN SOĞUTMA (MA…. SERİSİ),"MA 7… | 22.989,00"
TL,3,FAN SOĞUTMA (MA…. SERİSİ),"MA 8… | 22.989,00"
TL,3,FAN SOĞUTMA (MA…. SERİSİ),"MA 9… | 34.312,00"
TL,3,FAN SOĞUTMA (MA…. SERİSİ),"MA 10… | 34.312,00"
TL,3,FAN SOĞUTMA (MA…. SERİSİ),"MA 11… | 47.234,00"
TL,3,FAN SOĞUTMA (MA…. SERİSİ),"MA 12… | 47.234,00"
TL,3,FAN SOĞUTMA (MK…..SERİSİ),FAN SOĞUTMA (MK…..SERİSİ) | FİYAT (TL)
TL,3,FAN SOĞUTMA (MK…..SERİSİ),"MK 4… | 19.069,00"
TL,3,FAN SOĞUTMA (MK…..SERİSİ),"MK 5... | 23.430,00"
TL,3,FAN SOĞUTMA (MK…..SERİSİ),"MK 6… | 23.430,00"
TL,3,FAN SOĞUTMA (MK…..SERİSİ),"MK 7… | 31.122,00"
TL,3,FAN SOĞUTMA (MK…..SERİSİ),"MK 8… | 31.122,00"
TL,3,FAN SOĞUTMA (MK…..SERİSİ),"MK 9… | 44.630,00"
TL,3,FAN SOĞUTMA (MK…..SERİSİ),"MK 10… | 44.630,00"
TL,3,FAN SOĞUTMA (MK…..SERİSİ),"MK 11… | 59.382,00"
TL,3,FAN SOĞUTMA (MK…..SERİSİ),"MK 12… | 59.382,00"
TL,3,BORULU EŞANJÖR SOĞUTMA (MA/MK… SERİSİ),BORULU EŞANJÖR SOĞUTMA (MA/MK… SERİSİ) | Soğutma Gücü (kW) | FİYAT (TL)
TL,3,BORULU EŞANJÖR SOĞUTMA (MA/MK… SERİSİ),"BE 1 | 4 kW | 36.803,00"
TL,3,BORULU EŞANJÖR SOĞUTMA (MA/MK… SERİSİ),"BE 2 | 6 kW | 37.483,00"
TL,3,BORULU EŞANJÖR SOĞUTMA (MA/MK… SERİSİ),"BE 3 | 10 kW | 44.587,00"
TL,3,BORULU EŞANJÖR SOĞUTMA (MA/MK… SERİSİ),"BE 4 | 20 kW | 54.164,00"
TL,3,LEHİMLİ EŞANJÖR SOĞUTMA (MA/MK… SERİSİ),LEHİMLİ EŞANJÖR SOĞUTMA (MA/MK… SERİSİ) | Soğutma Gücü (kW) | FİYAT (TL)
TL,3,LEHİMLİ EŞANJÖR SOĞUTMA (MA/MK… SERİSİ),"LE 1 | 4 kW | 38.961,00"
TL,3,LEHİMLİ EŞANJÖR SOĞUTMA (MA/MK… SERİSİ),"LE 2 | 6 kW | 42.421,00"
TL,3,LEHİMLİ EŞANJÖR SOĞUTMA (MA/MK… SERİSİ),"LE 3 | 10 kW | 52.935,00"
TL,3,LEHİMLİ EŞANJÖR SOĞUTMA (MA/MK… SERİSİ),"LE 4 | 20 kW | 61.314,00"
TL,3,RADYATÖR SOĞUTMA (MA/MK… SERİSİ),RADYATÖR SOĞUTMA (MA/MK… SERİSİ) | Soğutma Gücü (kW) | FİYAT (TL)
TL,3,RADYATÖR SOĞUTMA (MA/MK… SERİSİ),"RS 1 | 6,5 kW | 64.367,00"
TL,3,RADYATÖR SOĞUTMA (MA/MK… SERİSİ),"RS 2 | 10 kW | 66.628,00"
TL,3,RADYATÖR SOĞUTMA (MA/MK… SERİSİ),"RS 3 | 15 kW | 78.278,00"
TL,3,RADYATÖR SOĞUTMA (MA/MK… SERİSİ),"RS 4 | 20 kW | 82.871,00"
TL,3,GENLEŞME TANKI (MA/MK….SERİSİ,GENLEŞME TANKI (MA/MK….SERİSİ | TANK HACMİ (Lt.) | FİYAT (TL)
TL,3,GENLEŞME TANKI (MA/MK….SERİSİ,"ET02 | 2 Lt. | 5.342,00"
TL,3,GENLEŞME TANKI (MA/MK….SERİSİ,"ET03 | 3 Lt. | 6.325,00"
TL,3,GENLEŞME TANKI (MA/MK….SERİSİ,"ET04 | 4 Lt. | 7.372,00"
TL,3,GENLEŞME TANKI (MA/MK….SERİSİ,"ET05 | 5 Lt. | 8.711,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,REDÜKTÖR TİPİ | MİL ÇIKIŞLI (MA…SL/SR) | KOVAN ÇIKIŞLI (MA…G..) | ÇİFT MİL ÇIKIŞLI (MK…SD) | SIKMA BİLEZİKLİ (MA…SDL/SDR) | ÇIKIŞ FLANŞI (MK…FL/FR)
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….402 | 119.094,00 | 121.614,00 | 125.045,00 | 139.505,00 | 23.282,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….403 | 131.541,00 | 134.982,00 | 138.602,00 | 153.785,00 | 23.282,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….502 | 157.442,00 | 163.278,00 | 164.491,00 | 185.328,00 | 27.585,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….503 | 171.362,00 | 177.084,00 | 178.323,00 | 200.676,00 | 27.585,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….602 | 185.616,00 | 184.384,00 | 195.282,00 | 216.140,00 | 28.560,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….603 | 201.902,00 | 200.861,00 | 212.104,00 | 232.428,00 | 28.560,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….702 | 228.138,00 | 224.994,00 | 237.394,00 | 261.246,00 | 44.251,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….703 | 248.135,00 | 244.566,00 | 256.379,00 | 281.804,00 | 44.251,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….704 | 260.696,00 | 258.027,00 | 270.774,00 | 296.731,00 | 44.251,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….802 | 292.646,00 | 287.162,00 | 304.480,00 | 333.880,00 | 47.794,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….803 | 311.878,00 | 305.917,00 | 323.450,00 | 354.245,00 | 47.794,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….804 | 327.937,00 | 322.950,00 | 340.623,00 | 372.152,00 | 47.794,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….902 | 361.247,00 | 366.628,00 | 371.575,00 | 423.679,00 | 52.558,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….903 | 395.370,00 | 400.023,00 | 405.946,00 | 458.225,00 | 52.558,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA ….904 | 411.809,00 | 417.262,00 | 423.151,00 | 476.719,00 | 52.558,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA…1002 | 457.540,00 | 445.775,00 | 474.421,00 | 519.615,00 | 58.607,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA…1003 | 496.940,00 | 484.689,00 | 514.523,00 | 561.362,00 | 58.607,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA…1004 | 518.368,00 | 506.438,00 | 536.782,00 | 585.166,00 | 58.607,00"
TL,4,MA... SERİSİ MONOBLOK REDÜKTÖRLER FİYAT LİSTE,"MA…1102 | 537.698,00 | 568.626,00 | 552.786,00 | 671.291,00 | 87.308,00"
