size,series,stage,input_config,price_eur,page
101,IPR,S1,FS,301.00,2
101,IPR,S2,FS,486.00,2
101,IPR,S3,FS,672.00,2
101,IPR,S4,FS,858.00,2
101,IPRK,S2,FS,808.00,2
101,IPRK,S3,FS,994.00,2
101,IPRK,S4,FS,1179.00,2
101,IPRK,S5,FS,1365.00,2
101,IPR,S1,FC,297.00,2
101,IPR,S2,FC,483.00,2
101,IPR,S3,FC,668.00,2
101,IPR,S4,FC,854.00,2
101,IPRK,S2,FC,804.00,2
101,IPRK,S3,FC,990.00,2
101,IPRK,S4,FC,1176.00,2
101,IPRK,S5,FC,1361.00,2
101,IPR,S1,HS,331.00,2
101,IPR,S2,HS,517.00,2
101,IPR,S3,HS,702.00,2
101,IPR,S4,HS,888.00,2
101,IPRK,S2,HS,838.00,2
101,IPRK,S3,HS,1024.00,2
101,IPRK,S4,HS,1210.00,2
101,IPRK,S5,HS,1396.00,2
101,IPR,S1,HC,330.00,2
101,IPR,S2,HC,515.00,2
101,IPR,S3,HC,701.00,2
101,IPR,S4,HC,887.00,2
101,IPRK,S2,HC,837.00,2
101,IPRK,S3,HC,1023.00,2
101,IPRK,S4,HC,1208.00,2
101,IPRK,S5,HC,1394.00,2
101,IPR,S1,MS,314.00,2
101,IPR,S2,MS,499.00,2
101,IPR,S3,MS,685.00,2
101,IPR,S4,MS,871.00,2
101,IPRK,S2,MS,821.00,2
101,IPRK,S3,MS,1007.00,2
101,IPRK,S4,MS,1192.00,2
101,IPRK,S5,MS,1378.00,2
101,IPR,S1,MC,320.00,2
101,IPR,S2,MC,506.00,2
101,IPR,S3,MC,692.00,2
101,IPR,S4,MC,877.00,2
101,IPRK,S2,MC,828.00,2
101,IPRK,S3,MC,1013.00,2
101,IPRK,S4,MC,1199.00,2
101,IPRK,S5,MC,1385.00,2
101,IPR,S1,SF,277.00,2
101,IPR,S2,SF,463.00,2
101,IPR,S3,SF,649.00,2
101,IPR,S4,SF,834.00,2
101,IPRK,S2,SF,784.00,2
101,IPRK,S3,SF,970.00,2
101,IPRK,S4,SF,1156.00,2
101,IPRK,S5,SF,1342.00,2
101,IPR,S1,SDF,303.00,2
101,IPR,S2,SDF,489.00,2
101,IPR,S3,SDF,674.00,2
101,IPR,S4,SDF,860.00,2
101,IPRK,S2,SDF,810.00,2
101,IPRK,S3,SDF,996.00,2
101,IPRK,S4,SDF,1182.00,2
101,IPRK,S5,SDF,1367.00,2
101,IPR,S1,DKM,336.00,2
101,IPR,S2,DKM,522.00,2
101,IPR,S3,DKM,707.00,2
101,IPR,S4,DKM,893.00,2
101,IPRK,S2,DKM,843.00,2
101,IPRK,S3,DKM,1029.00,2
101,IPRK,S4,DKM,1215.00,2
101,IPRK,S5,DKM,1400.00,2
103,IPR,S1,FS,340.00,3
103,IPR,S2,FS,525.00,3
103,IPR,S3,FS,711.00,3
103,IPR,S4,FS,897.00,3
103,IPRK,S2,FS,847.00,3
103,IPRK,S3,FS,1033.00,3
103,IPRK,S4,FS,1218.00,3
103,IPRK,S5,FS,1404.00,3
103,IPR,S1,FC,336.00,3
103,IPR,S2,FC,522.00,3
103,IPR,S3,FC,707.00,3
103,IPR,S4,FC,893.00,3
103,IPRK,S2,FC,843.00,3
103,IPRK,S3,FC,1029.00,3
103,IPRK,S4,FC,1215.00,3
103,IPRK,S5,FC,1400.00,3
103,IPR,S1,HS,370.00,3
103,IPR,S2,HS,556.00,3
103,IPR,S3,HS,741.00,3
103,IPR,S4,HS,927.00,3
103,IPRK,S2,HS,877.00,3
103,IPRK,S3,HS,1063.00,3
103,IPRK,S4,HS,1249.00,3
103,IPRK,S5,HS,1434.00,3
103,IPR,S1,HC,369.00,3
103,IPR,S2,HC,554.00,3
103,IPR,S3,HC,740.00,3
103,IPR,S4,HC,926.00,3
103,IPRK,S2,HC,876.00,3
103,IPRK,S3,HC,1062.00,3
103,IPRK,S4,HC,1247.00,3
103,IPRK,S5,HC,1433.00,3
103,IPR,S1,MS,353.00,3
103,IPR,S2,MS,538.00,3
103,IPR,S3,MS,724.00,3
103,IPR,S4,MS,910.00,3
103,IPRK,S2,MS,860.00,3
103,IPRK,S3,MS,1046.00,3
103,IPRK,S4,MS,1231.00,3
103,IPRK,S5,MS,1417.00,3
103,IPR,S1,MC,359.00,3
103,IPR,S2,MC,545.00,3
103,IPR,S3,MC,731.00,3
103,IPR,S4,MC,916.00,3
103,IPRK,S2,MC,866.00,3
103,IPRK,S3,MC,1052.00,3
103,IPRK,S4,MC,1238.00,3
103,IPRK,S5,MC,1424.00,3
103,IPR,S1,SF,316.00,3
103,IPR,S2,SF,502.00,3
103,IPR,S3,SF,687.00,3
103,IPR,S4,SF,873.00,3
103,IPRK,S2,SF,823.00,3
103,IPRK,S3,SF,1009.00,3
103,IPRK,S4,SF,1195.00,3
103,IPRK,S5,SF,1381.00,3
103,IPR,S1,SDF,342.00,3
103,IPR,S2,SDF,527.00,3
103,IPR,S3,SDF,713.00,3
103,IPR,S4,SDF,899.00,3
103,IPRK,S2,SDF,849.00,3
103,IPRK,S3,SDF,1035.00,3
103,IPRK,S4,SDF,1221.00,3
103,IPRK,S5,SDF,1406.00,3
103,IPR,S1,DKM,375.00,3
103,IPR,S2,DKM,561.00,3
103,IPR,S3,DKM,746.00,3
103,IPR,S4,DKM,932.00,3
103,IPRK,S2,DKM,882.00,3
103,IPRK,S3,DKM,1068.00,3
103,IPRK,S4,DKM,1254.00,3
103,IPRK,S5,DKM,1439.00,3
105,IPR,S1,FS,554.00,4
105,IPR,S2,FS,758.00,4
105,IPR,S3,FS,943.00,4
105,IPR,S4,FS,1129.00,4
105,IPRK,S2,FS,1079.00,4
105,IPRK,S3,FS,1265.00,4
105,IPRK,S4,FS,1451.00,4
105,IPRK,S5,FS,1637.00,4
105,IPR,S1,FC,567.00,4
105,IPR,S2,FC,771.00,4
105,IPR,S3,FC,957.00,4
105,IPR,S4,FC,1143.00,4
105,IPRK,S2,FC,1093.00,4
105,IPRK,S3,FC,1278.00,4
105,IPRK,S4,FC,1464.00,4
105,IPRK,S5,FC,1650.00,4
105,IPR,S1,HS,648.00,4
105,IPR,S2,HS,852.00,4
105,IPR,S3,HS,1037.00,4
105,IPR,S4,HS,1223.00,4
105,IPRK,S2,HS,1173.00,4
105,IPRK,S3,HS,1359.00,4
105,IPRK,S4,HS,1545.00,4
105,IPRK,S5,HS,1731.00,4
105,IPR,S1,HC,659.00,4
105,IPR,S2,HC,863.00,4
105,IPR,S3,HC,1048.00,4
105,IPR,S4,HC,1234.00,4
105,IPRK,S2,HC,1184.00,4
105,IPRK,S3,HC,1370.00,4
105,IPRK,S4,HC,1556.00,4
105,IPRK,S5,HC,1741.00,4
105,IPR,S1,SF,493.00,4
105,IPR,S2,SF,696.00,4
105,IPR,S3,SF,882.00,4
105,IPR,S4,SF,1068.00,4
105,IPRK,S2,SF,1018.00,4
105,IPRK,S3,SF,1204.00,4
105,IPRK,S4,SF,1389.00,4
105,IPRK,S5,SF,1575.00,4
105,IPR,S1,S,402.00,4
105,IPR,S2,S,605.00,4
105,IPR,S3,S,791.00,4
105,IPR,S4,S,977.00,4
105,IPRK,S2,S,927.00,4
105,IPRK,S3,S,1113.00,4
105,IPRK,S4,S,1299.00,4
105,IPRK,S5,S,1484.00,4
105,IPR,S1,SDF,598.00,4
105,IPR,S2,SDF,802.00,4
105,IPR,S3,SDF,988.00,4
105,IPR,S4,SDF,1174.00,4
105,IPRK,S2,SDF,1124.00,4
105,IPRK,S3,SDF,1310.00,4
105,IPRK,S4,SDF,1495.00,4
105,IPRK,S5,SDF,1681.00,4
105,IPR,S1,DKM,667.00,4
105,IPR,S2,DKM,871.00,4
105,IPR,S3,DKM,1057.00,4
105,IPR,S4,DKM,1242.00,4
105,IPRK,S2,DKM,1192.00,4
105,IPRK,S3,DKM,1378.00,4
105,IPRK,S4,DKM,1564.00,4
105,IPRK,S5,DKM,1750.00,4
107,IPR,S1,FS,639.00,5
107,IPR,S2,FS,881.00,5
107,IPR,S3,FS,1067.00,5
107,IPR,S4,FS,1253.00,5
107,IPRK,S2,FS,1357.00,5
107,IPRK,S3,FS,1389.00,5
107,IPRK,S4,FS,1574.00,5
107,IPRK,S5,FS,1760.00,5
107,IPR,S1,FC,652.00,5
107,IPR,S2,FC,895.00,5
107,IPR,S3,FC,1080.00,5
107,IPR,S4,FC,1266.00,5
107,IPRK,S2,FC,1371.00,5
107,IPRK,S3,FC,1402.00,5
107,IPRK,S4,FC,1588.00,5
107,IPRK,S5,FC,1773.00,5
107,IPR,S1,HS,733.00,5
107,IPR,S2,HS,975.00,5
107,IPR,S3,HS,1161.00,5
107,IPR,S4,HS,1347.00,5
107,IPRK,S2,HS,1452.00,5
107,IPRK,S3,HS,1483.00,5
107,IPRK,S4,HS,1668.00,5
107,IPRK,S5,HS,1854.00,5
107,IPR,S1,HC,743.00,5
107,IPR,S2,HC,986.00,5
107,IPR,S3,HC,1172.00,5
107,IPR,S4,HC,1358.00,5
107,IPRK,S2,HC,1462.00,5
107,IPRK,S3,HC,1493.00,5
107,IPRK,S4,HC,1679.00,5
107,IPRK,S5,HC,1865.00,5
107,IPR,S1,SF,577.00,5
107,IPR,S2,SF,820.00,5
107,IPR,S3,SF,1005.00,5
107,IPR,S4,SF,1191.00,5
107,IPRK,S2,SF,1296.00,5
107,IPRK,S3,SF,1327.00,5
107,IPRK,S4,SF,1513.00,5
107,IPRK,S5,SF,1699.00,5
107,IPR,S1,S,478.00,5
107,IPR,S2,S,721.00,5
107,IPR,S3,S,907.00,5
107,IPR,S4,S,1092.00,5
107,IPRK,S2,S,1197.00,5
