series,page,power_kw,n2_rpm,ratio_i,service_factor,torque_nm,radial_load_n,model
İR,41,,,5008.0,0.84,3876.0,26000.0,İRAFPM 93 İR 63 / 63 M 4a 328
İR,41,,,4673.0,0.9,3609.0,26000.0,İRAFPM 93 İR 63 / 63 M 4a 328
İR,41,,,4545.0,0.92,3489.0,26000.0,İRAFPM 93 İR 63 / 63 M 4a 328
İR,41,,,4241.0,0.99,3172.0,26000.0,İRAFPM 93 İR 63 / 63 M 4a 328
İR,41,,,4138.0,1.01,3172.0,26000.0,İRAFPM 93 İR 63 / 63 M 4a 328
İR,41,,,3861.0,1.09,2907.0,26000.0,İRAFPM 93 İR 63 / 63 M 4a 328
İR,41,,,3778.0,1.11,2829.0,26000.0,İRAFPM 93 İR 63 / 63 M 4a 328
İR,41,,,3525.0,1.19,2684.0,26000.0,İRAFPM 93 İR 63 / 63 M 4a 328
İR,41,,,3456.0,1.21,2617.0,26000.0,İRAFPM 93 İR 63 / 63 M 4a 328
İR,41,,,3168.0,1.32,2379.0,26000.0,İRAFPM 93 İR 63 / 63 M 4a 328
İR,41,,,2992.0,1.12,2310.0,26000.0,İRAFPM 92 İR 63 / 63 M 4a 328
İR,41,,,2792.0,1.2,2125.0,26000.0,İRAFPM 92 İR 63 / 63 M 4a 328
İR,41,,,2636.0,1.27,2005.0,26000.0,İRAFPM 92 İR 63 / 63 M 4a 328
İR,41,,,2460.0,1.36,1897.0,26000.0,İRAFPM 92 İR 63 / 63 M 4a 328
İR,41,,,2343.0,1.43,1801.0,26000.0,İRAFPM 92 İR 63 / 63 M 4a 328
İR,41,,,2186.0,1.53,1660.0,26000.0,İRAFPM 92 İR 63 / 63 M 4a 328
İR,41,,,2096.0,1.59,1610.0,26000.0,İRAFPM 92 İR 63 / 63 M 4a 328
İR,41,,,1956.0,1.71,1497.0,26000.0,İRAFPM 92 İR 63 / 63 M 4a 328
İR,41,,,1886.0,1.77,1436.0,26000.0,İRAFPM 92 İR 63 / 63 M 4a 328
İR,41,,,1760.0,1.9,1345.0,26000.0,İRAFPM 92 İR 63 / 63 M 4a 328
İR,41,,,1592.0,2.1,1221.0,26000.0,İRAFPM 92 İR 63 / 63 M 4a 328
İR,41,,,1409.0,2.4,1073.0,26000.0,İRAFPM 92 İR 63 / 63 M 4a 328
İR,41,,,1315.0,2.5,1063.0,26000.0,İRAFPM 92 İR 63 / 63 M 4a 328
