page,cells
1,CH KODU : | 88891
1,VERGİ NO. : | 4690005450 | VERGİ D. : | MARMARA KURUMLAR
1,EKLİF TARİHİ | : | 31.05.2024
1,EKLİF NO | : | 37723
1,"1 - D02028001 | ROTEX coupling 28 Steel | 5 ADET | ADET | 44,34 | 221,70 | EUR"
1,ROTEX28 | 1a-1a hub / unbored
1,"2 - D02038001 | ROTEX coupling 38 CAST IRON | 5 ADET | ADET | 67,28"
1,ROTEX38 | 1-1 hub / unbored
1,"336,40 | EUR"
1,"3 - D02042001 | ROTEX coupling 42 CAST IRON | 5 ADET | ADET | 95,45"
1,ROTEX42 | 1-1 hub / unbored
1,"477,25 | EUR"
1,"4 - D02048001 | ROTEX coupling 48 CAST IRON | 5 ADET | ADET | 113,89"
1,ROTEX48 | 1-1 hub / unbored
1,"569,45 | EUR"
1,"5 - D02055001 | ROTEX coupling 55 CAST IRON | 5 ADET | ADET | 133,75"
1,ROTEX55 | 1-1 hub / unbored
1,"668,75 | EUR"
1,"6 - D02065001 | ROTEX coupling 65 CAST IRON | 5 ADET | ADET | 203,94"
1,ROTEX65 | 1-1 hub / unbored
1,"1.019,70 | EUR"
1,"7 - D02075001 | ROTEX coupling 75 CAST IRON | 5 ADET | ADET | 285,83"
1,ROTEX75 | 1-1 hub / unbored
1,"1.429,15 | EUR"
1,"8 - D02090001 | ROTEX coupling 90 CAST IRON | 5 ADET | ADET | 354,21"
1,ROTEX90 | 1-1 hub / unbored
1,"1.771,05 | EUR"
1,"9 - D02041001 | ROTEX coupling 38 steel | 5 ADET | ADET | 96,01"
1,ROTEX38 | 1-1 hub / unbored
1,"480,05 | EUR"
1,"10 - D02045001 | ROTEX coupling 42 Steel | 5 ADET | ADET | 125,79"
1,ROTEX42 | 1-1 hub / unbored
1,"628,95 | EUR"
1,"11 - D02051001 | ROTEX coupling 48 Steel | 5 ADET | ADET | 153,08"
1,ROTEX48 | 1-1 hub / unbored
1,"765,40 | EUR"
1,"12 - D02057001 | ROTEX coupling 55 steel | 5 ADET | ADET | 201,87"
1,ROTEX55 | 1-1 hub / unbored
1,"1.009,35 | EUR"
1,"13 - D02067001 | ROTEX coupling 65 steel | 5 ADET | ADET | 249,08"
1,ROTEX65 | 1-1 hub / unbored
1,"1.245,40 | EUR"
1,"14 - D02077001 | ROTEX coupling 75 steel | 5 ADET | ADET | 374,51"
1,ROTEX75 | 1-1 hub / unbored
1,"1.872,55 | EUR"
1,"15 - D02092001 | ROTEX coupling 90 Steel | 5 ADET | ADET | 493,77"
1,ROTEX90 | 1-1 hub / unbored
1,"2.468,85 | EUR"
2,Ödeme Şekli | : | 45 GÜN VADELİ
2,"KDV'SİZ TOPLAM | : | 14.964,00 | EUR"
2,Sayfa No: | 2
