page,type,gearbox,flange,single_shaft,double_shaft,torque_arm
1,S/SP 25,27.18,3.00,2.50,3.00,2.50
1,S/SP 30,27.93,3.00,3.00,4.50,3.00
1,S/SP 40,32.43,3.25,5.00,6.00,3.50
1,S/SP 50,45.50,3.75,6.00,7.00,4.50
1,S/SP 63,62.12,4.50,7.00,8.00,5.50
1,S/SP 75,91.82,7.50,8.00,10.00,7.50
1,S/SP 90,125.12,10.00,10.00,15.00,10.00
1,S/SP 110,203.32,24.50,12.00,18.00,12.00
1,S/SP 130,265.48,30.00,15.00,26.00,15.00
1,S/SP 150,446.50,30.00,20.00,33.00,20.00
1,S/SP 25-30,12.50,,,,
1,S/SP 25-40,13.00,,,,
1,S/SP 30-40,13.00,,,,
1,S/SP 30-50,14.00,,,,
1,S/SP 30-63,15.00,,,,
1,S/SP 40-75,20.00,,,,
1,S/SP 40-90,20.00,,,,
1,S/SP 50-75,25.00,,,,
1,S/SP 50-110,25.00,,,,
1,S/SP 63-130,30.00,,,,
1,S/SP 63-150,40.00,,,,
1,S/SP 75-150,50.00,,,,
1,9-11,2.00,,,,
1,9-14,2.50,,,,
1,11-14,3.00,,,,
1,14-19,3.50,,,,
1,19-24,4.00,,,,
1,19-28,4.50,,,,
1,24-28,4.50,,,,
1,28-38,5.00,,,,
