series,imak_type,brand,comp_type,comp_d,comp_h,max_torque_nm
IR,İR 42 İR 43,SEW,R17,20k6,75,85
IR,İR 42 İR 43,NORD,SK 02,20k6,86,85
IR,İR 52 İR 53,SEW,R27,25k6,90,130
IR,İR 52 İR 53,NORD,SK 12,25k6,102,130
IR,,SEW,R37,25k6,90,200
IR,İR 621 İR 631,SEW,R47,30k6,115,300
IR,İR 621 İR 631,NORD,SK 22,30k6,115,300
IR,İR 62 İR 63,SEW,R57,35k6,115,450
IR,İR 721 İR 731,SEW,R67,35k6,130,600
IR,İR 72 İR 73,SEW,R77,40k6,140,820
IR,İR 72 İR 73,NORD,SK 32,40k6,155,820
IR,İR 82 İR 83,SEW,R87,50k6,180,1550
IR,İR 82 İR 83,NORD,SK 42,45k6,175,1550
IR,İR 92 İR 93,SEW,R97,60m6,225,3000
IR,İR 92 İR 93,NORD,SK 52,55m6,212,3000
IR,İR 102 İR 103,SEW,R107,70m6,250,4300
IR,İR 102 İR 103,NORD,SK 62,65m6,250,4300
IR,,NORD,SK 72,75m6,280,
IR,İR 122 İR 123,SEW,R137,90m6,315,8000
IR,İR 122 İR 123,NORD,SK 82,90m6,315,8000
IR,İR 142 İR 143,SEW,R147,110m6,355,13000
IR,İR 142 İR 143,NORD,SK 92,110m6,390,13000
IR,İR 152 İR 153,SEW,R167,120m6,425,18000
IR,İR 152 İR 153,NORD,SK 102,130m6,450,18000
IRK,İRK 53,SEW,K37,25k6,100,200
IRK,İRK 63,SEW,K47,30k6,112,400
IRK,İRK 63,NORD,SK 9012.1,30k6 35k6,112,400
IRK,,SEW,K57,35k6,132,600
IRK,İRK 73,SEW,K67,40k6,140,820
IRK,İRK 73,NORD,SK 9022.1,35k6,140,820
IRK,İRK 83,SEW,K77,50k6,180,1550
IRK,İRK 83,NORD,SK 9032.1,45k6,180,1550
IRK,İRK 93,SEW,K87,60m6,212,2700
IRK,İRK 93,NORD,SK 9042.1,60m6,212,2700
IRK,İRK 103,SEW,K97,70m6,265,4300
IRK,İRK 103,NORD,SK 9052.1,70m6,265,4300
IRK,İRK 123,SEW,K107,90m6,315,8000
IRK,İRK 123,NORD,SK 9072.1,90m6,315,8000
IRK,İRK 143,SEW,K127,110m6,375,13000
IRK,İRK 143,NORD,SK 9082.1,110m6,375,13000
IRK,İRK 153,SEW,K157,120m6,450,18000
IRK,İRK 153,NORD,SK 9086.1,120m6,450,18000
IRK,,SEW,K167,160m6,500,32000
IRK,,SEW,K187,190m6,600,50000
YP,,SEW,F27,25 k6,140 60,130
YP,YP 53 YP 52,SEW,F37,25 k6,158 76,200
YP,YP 53 YP 52,NORD,SK 1282A,30 k6,165 75,200
YP,YP 63 YP 62,SEW,F47,30 k6,170 77,400
YP,YP 63 YP 62,NORD,SK 2282A,35 k6,211 90,400
YP,,SEW,F57,35 k6,198 93,
YP,,NORD,SK 3282A,45 k6,250 106,
YP,YP 73 YP 72,SEW,F67,40 k6,218 97,820
YP,YP 73 YP 72,NORD,SK 4282A,55 m6,281 123,820
YP,YP 83 YP 82,SEW,F77,50 k6,278 121,1500
YP,YP 83 YP 82,NORD,SK 5282A,65 m6,341 144,1500
YP,YP 93 YP 92,SEW,F87,60 m6,346 152,3000
YP,YP 93 YP 92,NORD,SK 6282A,75 m6,357 173,3000
YP,YP 103 YP 102,SEW,F97,70 m6,395 178,4300
YP,YP 103 YP 102,NORD,SK 7282A,90 m6,399 196,4300
YP,YP 123 YP 122,SEW,F107,90 m6,485 200,7840
YP,YP 123 YP 122,NORD,SK 8282A,110 m6,465 225,7840
YP,YP 143 YP 142,SEW,F127,110 m6,550 236,12000
YP,YP 143 YP 142,NORD,SK 9282A,140 m6,584 295,12000
YP,YP 153 YP 152,SEW,F157,120 m6,660 286,18000
YP,YP 153 YP 152,NORD,SK 10282A,160 m6,660 310,18000
YP,,NORD,SK 11282A,180 m6,853 416,
YP,,NORD,SK 12282A,180 m6,853 416,
IR,,Bonfiglioli,C 05,16,85,
IR,İR 42 İR 43,Bonfiglioli,C 11,20,85,100
IR,İR 52 İR 53,Bonfiglioli,C 21,25,100,200
IR,İR 621 İR 631,Bonfiglioli,C 31,30,110,300
IR,İR 62 İR 63,Bonfiglioli,C 35,35,115,450
IR,İR 721 İR 731,Bonfiglioli,C 41,35,130,600
IR,İR 72 İR 73,Bonfiglioli,C 51,40,155,1000
IR,İR 82 İR 83,Bonfiglioli,C 61,50,195,1600
IR,İR 92 İR 93,Bonfiglioli,C 70,60,210,2300
IR,İR 102 İR 103,Bonfiglioli,C 80,80,250,4000
IR,İR 122 İR 123,Bonfiglioli,C 90,90,300,7200
IR,İR 142 İR 143,Bonfiglioli,C 100,100,345,12000
IRK,İRK 43,Bonfiglioli,A 10,25,70,150
IRK,İRK 53,Bonfiglioli,A20,30,80,250
IRK,İRK 63,Bonfiglioli,A 30,35,90,410
IRK,,Bonfiglioli,A 35,40,100,600
IRK,İRK 73,Bonfiglioli,A 41,45,112,850
IRK,İRK 83,Bonfiglioli,A 50,50,140,1500
IRK,,Bonfiglioli,A 55,60,140,2000
IRK,İRK 93,Bonfiglioli,A 60,60,165,2800
IRK,İRK 103,Bonfiglioli,A 70,80,229,5000
IRK,İRK 123,Bonfiglioli,A 80,90,272,8000
IRK,İRK 143,Bonfiglioli,A 90,100,325,14000
