category,item,price_tl
twin_shaft,PF2352K.0L,106756
twin_shaft,PF2662K.0L,157782
twin_shaft,PF2862K.0L,194031
twin_shaft,PF3462K.0L,239502
shrink_disk,P11..0S,2750
shrink_disk,P12..0S,3254
shrink_disk,P15..0S,8543
shrink_disk,P16..0S,8865
shrink_disk,P19..0S,13861
shrink_disk,P23..0S,21555
shrink_disk,P24..0S,23084
shrink_disk,P27..0S,50518
shrink_disk,P29..0S,54893
shrink_disk,P35..0S,78871
drum_flange,P11/P12,3412
drum_flange,P15/P16,6181
drum_flange,P19,9154
drum_flange,P23/P24/P27,16790
drum_flange,P29/P35,28067
torque_arm_single,P11/P12,3188
torque_arm_single,P15/P16,6004
torque_arm_single,P19,8954
torque_arm_single,P23/P24,8998
torque_arm_single,P27,14861
torque_arm_single,P29,19019
torque_arm_single,P35,23776
torque_arm_double,P11/P12,4251
torque_arm_double,P15/P16,8005
torque_arm_double,P19,11939
torque_arm_double,P23/P24,13497
torque_arm_double,P27,22292
torque_arm_double,P29,28529
torque_arm_double,P35,35664
