brand,family,model_base,variant,imak_equiv_series,pt_price_tl,rt_price_tl,currency,source_page
Yilmaz,PT/RT L,1101,L,IPR,21253,22315,TL,5
Yilmaz,PT/RT L,1102,L,IPR,25104,26167,TL,5
Yilmaz,PT/RT L,1103,L,IPR,28139,29202,TL,5
Yilmaz,PT/RT L,1104,L,IPR,32112,33174,TL,5
Yilmaz,PT/RT L,1201,L,IPR,28309,29371,TL,5
Yilmaz,PT/RT L,1202,L,IPR,32597,33660,TL,5
Yilmaz,PT/RT L,1203,L,IPR,35918,36980,TL,5
Yilmaz,PT/RT L,1204,L,IPR,41705,42767,TL,5
Yilmaz,PT/RT L,1501,L,IPR,40026,45558,TL,5
Yilmaz,PT/RT L,1502,L,IPR,39790,45322,TL,5
Yilmaz,PT/RT L,1503,L,IPR,43384,48916,TL,5
Yilmaz,PT/RT L,1504,L,IPR,48737,54269,TL,5
Yilmaz,PT/RT L,1601,L,IPR,44529,50061,TL,5
Yilmaz,PT/RT L,1602,L,IPR,47731,53263,TL,5
Yilmaz,PT/RT L,1603,L,IPR,51326,56858,TL,5
Yilmaz,PT/RT L,1604,L,IPR,57799,63331,TL,5
Yilmaz,PT/RT L,1901,L,IPR,59695,66950,TL,5
Yilmaz,PT/RT L,1902,L,IPR,63156,70411,TL,5
Yilmaz,PT/RT L,1903,L,IPR,63640,70895,TL,5
Yilmaz,PT/RT L,1904,L,IPR,69834,77089,TL,5
Yilmaz,PT/RT L,2301,L,IPR,89983,99241,TL,5
Yilmaz,PT/RT L,2302,L,IPR,87245,96503,TL,5
Yilmaz,PT/RT L,2303,L,IPR,89238,98496,TL,5
Yilmaz,PT/RT L,2304,L,IPR,95316,104575,TL,5
Yilmaz,PT/RT L,2401,L,IPR,111395,120654,TL,5
Yilmaz,PT/RT L,2402,L,IPR,112939,122198,TL,5
Yilmaz,PT/RT L,2403,L,IPR,119163,128422,TL,5
Yilmaz,PT/RT L,2404,L,IPR,127302,136560,TL,5
Yilmaz,PT/RT L,2701,L,IPR,148613,179378,TL,5
Yilmaz,PT/RT L,2702,L,IPR,154180,184945,TL,5
Yilmaz,PT/RT L,2703,L,IPR,162136,192901,TL,5
Yilmaz,PT/RT L,2704,L,IPR,169087,199852,TL,5
Yilmaz,PT/RT L,2902,L,IPR,209751,244420,TL,5
Yilmaz,PT/RT L,2903,L,IPR,211751,246421,TL,5
Yilmaz,PT/RT L,2904,L,IPR,221497,256166,TL,5
Yilmaz,PT/RT L,3502,L,IPR,268540,308568,TL,5
Yilmaz,PT/RT L,3503,L,IPR,277484,317511,TL,5
Yilmaz,PT/RT L,3504,L,IPR,290570,330598,TL,5
Yilmaz,PT/RT K,1102,K,IPRK,28155,29217,TL,5
Yilmaz,PT/RT K,1103,K,IPRK,31418,32481,TL,5
Yilmaz,PT/RT K,1104,K,IPRK,37252,38315,TL,5
Yilmaz,PT/RT K,1202,K,IPRK,36458,37520,TL,5
Yilmaz,PT/RT K,1203,K,IPRK,39824,40887,TL,5
Yilmaz,PT/RT K,1204,K,IPRK,46059,47121,TL,5
Yilmaz,PT/RT K,1502,K,IPRK,47132,52665,TL,5
Yilmaz,PT/RT K,1503,K,IPRK,47506,53039,TL,5
Yilmaz,PT/RT K,1504,K,IPRK,53317,58850,TL,5
Yilmaz,PT/RT K,1602,K,IPRK,53967,59499,TL,5
Yilmaz,PT/RT K,1603,K,IPRK,55952,61484,TL,5
Yilmaz,PT/RT K,1604,K,IPRK,62849,68381,TL,5
Yilmaz,PT/RT K,1902,K,IPRK,78334,85589,TL,5
Yilmaz,PT/RT K,1903,K,IPRK,71710,78965,TL,5
Yilmaz,PT/RT K,1904,K,IPRK,75135,82390,TL,5
Yilmaz,PT/RT K,2302,K,IPRK,106507,115765,TL,5
Yilmaz,PT/RT K,2303,K,IPRK,98643,107901,TL,5
Yilmaz,PT/RT K,2304,K,IPRK,101937,111196,TL,5
Yilmaz,PT/RT K,2402,K,IPRK,130689,139947,TL,5
Yilmaz,PT/RT K,2403,K,IPRK,126745,136003,TL,5
Yilmaz,PT/RT K,2404,K,IPRK,135956,145215,TL,5
Yilmaz,PT/RT K,2702,K,IPRK,185353,216118,TL,5
Yilmaz,PT/RT K,2703,K,IPRK,177267,208032,TL,5
Yilmaz,PT/RT K,2704,K,IPRK,182826,213591,TL,5
Yilmaz,PT/RT K,2902,K,IPRK,244140,278810,TL,5
Yilmaz,PT/RT K,2903,K,IPRK,236998,271667,TL,5
Yilmaz,PT/RT K,2904,K,IPRK,237425,272094,TL,5
Yilmaz,PT/RT K,3502,K,IPRK,296527,336555,TL,5
Yilmaz,PT/RT K,3503,K,IPRK,302240,342268,TL,5
Yilmaz,PT/RT K,3504,K,IPRK,308661,348689,TL,5
