Company,Website,Phone,LinkedIn,Founded,Category,NAICS,SIC
AKELA GROUP MACHINERY,http://www.akelagroup.uz,+998781139561,http://www.linkedin.com/company/akelagroupmachinery,2004,Manufacturer / machining,"33324,423830,811310,488510","3599,5084,7699,4731"
Angren Power Insulators,http://www.apinsulators.co,,http://www.linkedin.com/company/angren-power-insulators,2024,Manufacturer / machining,33593,3699
Arcon Uzbekistan,,+420323637930,http://www.linkedin.com/company/arcon-uzbekistan,,Manufacturer / machining,33324,3825
ASMEX PETROCHEM LLC,http://www.asmex.uz,+998937005767,http://www.linkedin.com/company/asmex-petrochem-llc,2022,Manufacturer / machining,"333248,541330,541512",3531
Avas Industrial Solutions,http://www.avas-is.com,,http://www.linkedin.com/company/avas-is,,Manufacturer / machining,33312,3531
Dynatec FE LLC,http://www.dynatec.uz,,http://www.linkedin.com/company/dynatec,2019,Manufacturer / machining,"33361,811310,541330","5085,7699,8711"
Enter Steel,http://www.enter-steel.com,+998781509889,http://www.linkedin.com/company/fdi-enter-steel-llc,2019,Manufacturer / machining,33299,3599
Esmak Automotive LLC,http://www.esmak.uz,+998662401577,http://www.linkedin.com/company/esmak-automotive-llc,,Manufacturer / machining,"33621,336360","3711,3714"
Kogon Neftegaz Energo Servis LLC,http://www.knges.uz,,http://www.linkedin.com/company/kogon-neftegaz-energo-servis-llc,2009,Manufacturer / machining,21311,3531
Mexatronika TES,http://www.mtes.uz,,http://www.linkedin.com/company/mexatronika-tes,1999,Manufacturer / machining,54133,3531
MUSAKA CNC SERVICE,http://www.agessa.uz,+903122120275,http://www.linkedin.com/company/musakacnc,2025,Manufacturer / machining,33341,3585
O'zelektroapparat-Electroshield,http://www.uzea.uz,,http://www.linkedin.com/company/uzea,1941,Manufacturer / machining,"33599,335313,541330","3621,3623,8711"
Petropipe Heavy Engineering,,,http://www.linkedin.com/company/petropipe-engineering,2018,Manufacturer / machining,"332410,333914","3444,3561"
Steel Property Construction,http://www.spc.uz,,http://www.linkedin.com/company/steel-property-construction,,Manufacturer / machining,33231,1799
TEXENERGOREMMASH,http://www.energo.uz,+998951954261,http://www.linkedin.com/company/energouz,2007,Manufacturer / machining,33531,3621
TEXNOPARK LLC,http://www.texnopark.uz,+998951770072,http://www.linkedin.com/company/texnopark-llc,2019,Manufacturer / machining,"335220,333415,333120,333921",
UCD Micros,http://www.micros.uz,+998712003434,http://www.linkedin.com/company/ucd-micros,1996,Manufacturer / machining,"423430,541511,334519",3571
UzAuto-INZI LLC,http://www.uzinzi.uz,+998712073300,http://www.linkedin.com/company/jv-uzauto-inzi-llc,2015,Manufacturer / machining,"33281,336390",3599
UZMAC LLC,http://www.uzmac.com,+998998715775,http://www.linkedin.com/company/uzmac-llc,2017,Manufacturer / machining,33312,3531
"ООО ""Metal Processing""",http://www.mtlp.uz,,http://www.linkedin.com/company/%d0%be%d0%be%d0%be-metal-processing,2018,Manufacturer / machining,33231,3541
JSC Uzmetkombinat,http://www.uzbeksteel.uz,+998715141462,http://www.linkedin.com/company/jsc-uzmetkombinat,1942,Metallurgy / steel,331110,"3312,3311"
"LLC ""Toshkent Metallurgiya Zavodi""",http://www.tashkentsteel.uz,+998712098811,http://www.linkedin.com/company/llc-toshkent-metallurgiya-zavodi,2017,Metallurgy / steel,33111,3312
AKFA BUILD,http://www.akfabuild.eu,,http://www.linkedin.com/company/akfabuild,2016,Distributor / dealer,"33324,236,327",3531
AVENTOS GROUP,http://www.aventosgroup.uz,+998778000888,http://www.linkedin.com/company/aventos-group,,Distributor / dealer,33341,3585
Enter IMS,http://www.group-ims.de,,http://www.linkedin.com/company/enter-ims,2023,Distributor / dealer,"33312,333131,541330",3531
Felder Group CIS,,+18667925288,http://www.linkedin.com/company/felder-group-cis,1956,Distributor / dealer,"333243,423830",
Futura Central Asia,http://www.futura-centralasia.com,+998712838333,http://www.linkedin.com/company/futura-central-asia,2010,Distributor / dealer,33324,3556
GlobeCore Uzbekistan - трансформаторларга техник хизмат кўрсатиш учун ускуналар,http://www.globecore.uz,+998901878682,http://www.linkedin.com/company/globecore-uzbekistan,1969,Distributor / dealer,33399,3531
Karcher Center ATE,http://www.karcher-ate.uz,,http://www.linkedin.com/company/karcher-center-ate,1999,Distributor / dealer,33992,3593
Konstan Kran Servis LLC,http://www.konstan.uz,,http://www.linkedin.com/company/konstan-kran-servis,,Distributor / dealer,42383,3531
LiuGong Central Asia,http://www.liugonguz.uz,,http://www.linkedin.com/company/liugong-central-asia,1958,Distributor / dealer,33312,3531
SOLVEX,http://www.solvex.pro,+74959280852,http://www.linkedin.com/company/solvexscv,2019,Distributor / dealer,33324,3824
Tapflo Uzbekistan,http://www.tapflo.uz,+998907998940,http://www.linkedin.com/company/tapflo-uzbekistan,,Distributor / dealer,333914,
Viessmann Climate Solutions UZ,http://www.viessmann.uz,,http://www.linkedin.com/company/viessmann-climate-solutions-uz,1917,Distributor / dealer,33361,3585
Zeppelin Uzbekistan,http://www.zeppelin.uz,+9985019933,http://www.linkedin.com/company/zeppelinuz,2017,Distributor / dealer,423830,3531
