Company,Objective,Sector,Website,Phone,LinkedIn,Founded,Est. Revenue,NAICS
Artel Electronics,Competitor / peer,Machinery manufacturing,http://www.artelelectronics.com,+998781488888,http://www.linkedin.com/company/artelelectronics,2011,105M,"33324,335220,334310"
TEXNOPARK LLC,Competitor / peer,Machinery manufacturing,http://www.texnopark.uz,+998951770072,http://www.linkedin.com/company/texnopark-llc,2019,66M,"335220,333415,333120,333921"
AKELA GROUP MACHINERY,Competitor / peer,Machinery manufacturing,http://www.akelagroup.uz,+998781139561,http://www.linkedin.com/company/akelagroupmachinery,2004,,"33324,423830,811310,488510"
Angren Power Insulators,Competitor / peer,Electrical equipment,http://www.apinsulators.co,,http://www.linkedin.com/company/angren-power-insulators,2024,,33593
Arcon Uzbekistan,Competitor / peer,Machinery manufacturing,,+420323637930,http://www.linkedin.com/company/arcon-uzbekistan,,,33324
ASMEX PETROCHEM LLC,Competitor / peer,Machinery manufacturing,http://www.asmex.uz,+998937005767,http://www.linkedin.com/company/asmex-petrochem-llc,2022,,"333248,541330,541512"
Avas Industrial Solutions,Competitor / peer,Machinery manufacturing,http://www.avas-is.com,,http://www.linkedin.com/company/avas-is,,,33312
AVENTOS GROUP,Competitor / peer,Machinery manufacturing,http://www.aventosgroup.uz,+998778000888,http://www.linkedin.com/company/aventos-group,,,33341
Dynatec FE LLC,Competitor / peer,Machinery manufacturing,http://www.dynatec.uz,,http://www.linkedin.com/company/dynatec,2019,,"33361,811310,541330"
Enter IMS,Competitor / peer,Machinery manufacturing,http://www.group-ims.de,,http://www.linkedin.com/company/enter-ims,2023,,"33312,333131,541330"
Enter Steel,Competitor / peer,Fabricated metal & machinery,http://www.enter-steel.com,+998781509889,http://www.linkedin.com/company/fdi-enter-steel-llc,2019,,33299
Eurolux LLC Uzbekistan,Competitor / peer,Industrial machinery repair,http://www.euroluxstore.com,,http://www.linkedin.com/company/eurolux-llc-uzbekistan,2018,,"423830,811310"
Falk Porsche Fiberglass,Competitor / peer,Fabricated metal & machinery,http://www.dkg-ag.de,,http://www.linkedin.com/company/falk-porsche-fiberglass,2018,,33232
FE ALUMINIUM SYSTEMS LLC,Competitor / peer,Fabricated metal & machinery,http://www.alsys.uz,+998712722643,http://www.linkedin.com/company/fe-aluminium-systems-llc,,,33231
Felder Group CIS,Competitor / peer,Machinery manufacturing,,+18667925288,http://www.linkedin.com/company/felder-group-cis,1956,,"333243,423830"
FoodTec,Competitor / peer,Machinery manufacturing,http://www.foodtec.uz,+998901118866,http://www.linkedin.com/company/food-tec,,,33324
Futura Central Asia,Competitor / peer,Machinery manufacturing,http://www.futura-centralasia.com,+998712838333,http://www.linkedin.com/company/futura-central-asia,2010,,33324
